name	group
Sample1	PCOS-E
Sample10	PCOS-E
Sample100	HC-E
Sample1000	PCOS-A
Sample1001	PCOS-A
Sample1002	PCOS-A
Sample1003	PCOS-A
Sample1004	PCOS-A
Sample1005	PCOS-A
Sample1006	PCOS-A
Sample1007	PCOS-A
Sample1008	PCOS-A
Sample1009	HC-A
Sample101	HC-E
Sample1010	PCOS-A
Sample1011	PCOS-A
Sample1012	PCOS-A
Sample1013	PCOS-A
Sample1014	PCOS-A
Sample1015	PCOS-A
Sample1016	PCOS-A
Sample1017	PCOS-A
Sample1018	PCOS-A
Sample1019	PCOS-A
Sample102	HC-E
Sample1020	HC-A
Sample1021	HC-A
Sample1022	HC-A
Sample1023	HC-A
Sample1024	HC-A
Sample1025	HC-A
Sample1026	HC-A
Sample1027	HC-A
Sample1028	HC-A
Sample1029	PCOS-A
Sample103	HC-E
Sample1030	PCOS-A
Sample1031	PCOS-A
Sample1032	PCOS-A
Sample1033	PCOS-A
Sample1034	PCOS-A
Sample1035	PCOS-A
Sample1036	PCOS-A
Sample1037	PCOS-A
Sample1038	PCOS-A
Sample1039	HC-A
Sample104	HC-E
Sample1040	PCOS-A
Sample1041	PCOS-A
Sample1042	PCOS-A
Sample1043	PCOS-A
Sample1044	PCOS-A
Sample1045	PCOS-A
Sample1046	PCOS-A
Sample1047	PCOS-A
Sample1048	PCOS-A
Sample1049	PCOS-A
Sample105	HC-E
Sample1050	HC-A
Sample1051	HC-A
Sample1052	HC-A
Sample1053	HC-A
Sample1054	HC-A
Sample1055	HC-A
Sample1056	HC-A
Sample1057	HC-A
Sample1058	HC-A
Sample1059	HC-A
Sample106	HC-E
Sample1060	HC-A
Sample1061	HC-A
Sample1062	HC-A
Sample1063	PCOS-E
Sample1064	PCOS-E
Sample1065	HC-E
Sample1066	HC-E
Sample1067	PCOS-E
Sample1068	PCOS-E
Sample1069	HC-E
Sample107	PCOS-E
Sample1070	HC-E
Sample1071	HC-E
Sample1072	PCOS-E
Sample1073	HC-E
Sample1074	HC-E
Sample1075	HC-E
Sample1076	HC-E
Sample1077	HC-E
Sample1078	PCOS-E
Sample1079	HC-E
Sample108	PCOS-E
Sample1080	PCOS-E
Sample1081	HC-E
Sample1082	HC-E
Sample1083	HC-E
Sample1084	HC-E
