"samples" "V1" "V2" "group"
"1" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"2" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"3" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"4" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"5" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"6" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"7" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"8" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"9" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"10" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"11" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"12" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"13" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"14" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"15" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"16" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"17" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"18" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"19" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"20" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"21" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"22" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"23" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"24" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"25" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"26" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"27" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"28" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"29" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"30" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"31" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"32" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"33" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"34" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"35" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"36" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"37" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"38" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"39" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"40" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"41" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"42" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
"43" "PCOS" -0.244575456707838 -0.0666730295979769 "PCOS-LT"
