"samples" "V1" "V2" "group"
"1" "Sample1" -0.250510239229479 0.072177541581558 "PCOS-E"
"2" "Sample10" -0.279133169756806 0.094179342443519 "PCOS-E"
"3" "Sample100" -0.273512069126337 0.0918157098331566 "HC-E"
"4" "Sample1000" 0.232467461021366 0.0826433286462511 "PCOS-A"
"5" "Sample1001" 0.256688752161891 -0.143877931639406 "PCOS-A"
"6" "Sample1002" 0.251781691157648 -0.0376592253819195 "PCOS-A"
"7" "Sample1003" 0.236487911264492 0.159512252072763 "PCOS-A"
"8" "Sample1004" 0.244925011716408 0.169318751094001 "PCOS-A"
"9" "Sample1005" 0.259830814267267 0.167325830057715 "PCOS-A"
"10" "Sample1006" 0.262023007084031 0.137172266325526 "PCOS-A"
"11" "Sample1007" 0.276414702208815 0.076694041717935 "PCOS-A"
"12" "Sample1008" 0.261794954118386 0.105645527463062 "PCOS-A"
"13" "Sample1009" 0.240105733665924 -0.0224783014208714 "HC-A"
"14" "Sample101" -0.249813060899232 -0.0606735546238646 "HC-E"
"15" "Sample1010" 0.291393342432012 -0.122257157414202 "PCOS-A"
"16" "Sample1011" 0.277349649524887 0.168208053767271 "PCOS-A"
"17" "Sample1012" 0.267275139169139 0.191455113447736 "PCOS-A"
"18" "Sample1013" 0.217324622488853 0.19761592289225 "PCOS-A"
"19" "Sample1014" 0.262994366493968 0.150384197582215 "PCOS-A"
"20" "Sample1015" 0.254355430832668 0.160486676701825 "PCOS-A"
"21" "Sample1016" 0.216918593510119 0.1739436833145 "PCOS-A"
"22" "Sample1017" 0.266263612304107 0.164253575526325 "PCOS-A"
"23" "Sample1018" 0.222023642894848 0.180726249009448 "PCOS-A"
"24" "Sample1019" 0.196054700813468 0.153235973037785 "PCOS-A"
"25" "Sample102" -0.220591802880808 0.0241002306716221 "HC-E"
"26" "Sample1020" 0.24665555296654 0.172414032753453 "HC-A"
"27" "Sample1021" 0.2698203081627 0.167652825176078 "HC-A"
"28" "Sample1022" 0.232792883949573 0.163649247230003 "HC-A"
"29" "Sample1023" 0.181172090599691 0.0589685374449966 "HC-A"
"30" "Sample1024" 0.25996975244141 -0.0608607749793154 "HC-A"
"31" "Sample1025" 0.200370386132779 -0.045009833987905 "HC-A"
"32" "Sample1026" 0.19089721817831 0.0546882170103497 "HC-A"
"33" "Sample1027" 0.238850180248875 0.0406349419749437 "HC-A"
"34" "Sample1028" 0.185829975010696 0.0216298609165661 "HC-A"
"35" "Sample1029" 0.181155493892614 0.0250023909806005 "PCOS-A"
"36" "Sample103" -0.267417617390386 -0.0441407936554814 "HC-E"
"37" "Sample1030" 0.130465004575198 -0.0006720425572961 "PCOS-A"
"38" "Sample1031" 0.243343717123976 0.0322877595529531 "PCOS-A"
"39" "Sample1032" 0.185527829085775 0.0200429599991454 "PCOS-A"
"40" "Sample1033" 0.229384077154682 0.00468920288588472 "PCOS-A"
"41" "Sample1034" 0.240487784818967 0.00764330832112577 "PCOS-A"
"42" "Sample1035" 0.201858049355233 0.0179976614770623 "PCOS-A"
"43" "Sample1036" 0.157158192958119 -0.0455936870892696 "PCOS-A"
"44" "Sample1037" 0.214227446928395 0.0876250198283733 "PCOS-A"
"45" "Sample1038" 0.245647954371954 -0.0336966910449706 "PCOS-A"
"46" "Sample1039" 0.232077124405184 0.0107735994332332 "HC-A"
"47" "Sample104" -0.300393910355509 0.0571459783500986 "HC-E"
"48" "Sample1040" 0.217028310113216 -0.108658771762569 "PCOS-A"
"49" "Sample1041" 0.211397008532321 0.00529238085728333 "PCOS-A"
"50" "Sample1042" 0.217906682808769 0.0690266118776044 "PCOS-A"
"51" "Sample1043" 0.267862433013616 0.0549486492160485 "PCOS-A"
"52" "Sample1044" 0.213418535658418 0.0379592303942412 "PCOS-A"
"53" "Sample1045" 0.260995759230379 0.0257653436234311 "PCOS-A"
"54" "Sample1046" 0.254263565025077 -0.0166630100269682 "PCOS-A"
"55" "Sample1047" 0.198137274645057 0.0595490708135365 "PCOS-A"
"56" "Sample1048" 0.236909734877426 -0.0487320606834919 "PCOS-A"
"57" "Sample1049" 0.248073332839205 -0.00182573818617311 "PCOS-A"
"58" "Sample105" -0.248966571201501 0.0383744800387402 "HC-E"
"59" "Sample1050" 0.228667385199388 0.018226942293668 "HC-A"
"60" "Sample1051" 0.241465414913215 -0.0222840496688593 "HC-A"
"61" "Sample1052" 0.174835305151107 0.0730503128892537 "HC-A"
"62" "Sample1053" 0.232035734494175 0.015153496968746 "HC-A"
"63" "Sample1054" 0.192483976041979 0.0397913483292875 "HC-A"
"64" "Sample1055" 0.204214544224211 -0.113298305430149 "HC-A"
"65" "Sample1056" 0.192330056436377 -0.0222485686092696 "HC-A"
"66" "Sample1057" 0.209643483170383 -0.0272684616576119 "HC-A"
"67" "Sample1058" 0.248040029975813 -0.0361941669052735 "HC-A"
"68" "Sample1059" 0.23752692855201 0.0527402270745845 "HC-A"
"69" "Sample106" -0.262806800508062 0.0153708882695437 "HC-E"
"70" "Sample1060" 0.201234372717641 0.0325601443627263 "HC-A"
"71" "Sample1061" 0.25480683355802 0.0126334297665357 "HC-A"
"72" "Sample1062" 0.284459930599417 0.0201409051407532 "HC-A"
"73" "Sample1063" -0.244767999292494 0.0659759668232872 "PCOS-E"
"74" "Sample1064" -0.265999481747657 0.0306010863624309 "PCOS-E"
"75" "Sample1065" -0.258123530967817 -0.0134678294882518 "HC-E"
"76" "Sample1066" -0.292429553265599 0.0664707009342565 "HC-E"
"77" "Sample1067" -0.259020204964515 0.0875997081767859 "PCOS-E"
"78" "Sample1068" -0.28865453360028 0.0272451782196422 "PCOS-E"
"79" "Sample1069" -0.280170179602466 0.0125717857009259 "HC-E"
"80" "Sample107" -0.258569881733623 0.0708805153791034 "PCOS-E"
"81" "Sample1070" -0.290169277056147 0.0837127433225829 "HC-E"
"82" "Sample1071" -0.27691153641564 0.0712418810235435 "HC-E"
"83" "Sample1072" -0.284552756721586 0.0960169205232636 "PCOS-E"
"84" "Sample1073" -0.262307615354125 0.0664714489732462 "HC-E"
"85" "Sample1074" -0.260909312658894 0.0587945241838196 "HC-E"
"86" "Sample1075" -0.259610501041532 0.0075181673933519 "HC-E"
"87" "Sample1076" -0.255960449174618 0.0883269934190229 "HC-E"
"88" "Sample1077" -0.256985802856312 0.103395752371287 "HC-E"
"89" "Sample1078" -0.260367734925064 0.0855035406978872 "PCOS-E"
"90" "Sample1079" -0.285866191327636 -0.014446434477487 "HC-E"
"91" "Sample108" -0.247320973762472 0.0406720051603565 "PCOS-E"
"92" "Sample1080" -0.257231532000589 -0.0392565628155166 "PCOS-E"
"93" "Sample1081" -0.284989545927737 0.0941501837550996 "HC-E"
"94" "Sample1082" -0.209887347751753 0.0631948007468818 "HC-E"
"95" "Sample1083" -0.280169236307285 -0.0033879606790285 "HC-E"
"96" "Sample1084" -0.250205027151 -0.0446589963666669 "HC-E"
"97" "Sample1085" -0.257695691467319 0.081872817444225 "PCOS-E"
"98" "Sample1086" -0.267498409647547 0.102621618836184 "HC-E"
"99" "Sample1087" -0.284592501634921 0.0512335088924726 "PCOS-E"
"100" "Sample1088" -0.307004040179062 0.0321750446245255 "HC-E"
"101" "Sample1089" -0.247042764611626 0.098936428685563 "PCOS-E"
"102" "Sample109" -0.245673520114351 0.131309436198999 "PCOS-E"
"103" "Sample1090" -0.279776187783292 0.101830360833105 "PCOS-E"
"104" "Sample1091" -0.261194488009512 0.0961176419723189 "PCOS-E"
"105" "Sample1092" -0.184800009816125 -0.115910625941477 "HC-E"
"106" "Sample1093" -0.291985027014514 0.0770750823003323 "PCOS-E"
"107" "Sample1094" -0.265393971512668 0.100336578727204 "HC-E"
"108" "Sample1095" -0.276109610574212 0.0908863994469442 "HC-E"
"109" "Sample1096" -0.269169567056425 0.0910329282369258 "HC-E"
"110" "Sample1097" -0.278748268751913 0.0856937405397246 "HC-E"
"111" "Sample1098" -0.266951252753636 0.108466462759237 "PCOS-E"
"112" "Sample1099" -0.265512385117493 0.0991484918980759 "HC-E"
"113" "Sample11" -0.252982243512405 0.0746162163652917 "HC-E"
"114" "Sample110" -0.242878967319567 0.083321522133318 "HC-E"
"115" "Sample1100" -0.280914352895983 0.0540415973458946 "HC-E"
"116" "Sample1101" -0.230869301688932 0.0497897957371509 "HC-E"
"117" "Sample1102" -0.277450714671976 0.0647001904778274 "PCOS-E"
"118" "Sample1103" -0.280457044531692 0.071119855412033 "PCOS-E"
"119" "Sample1104" -0.280769619942758 0.0727121993497666 "PCOS-E"
"120" "Sample1105" -0.245860549133845 0.0822619244324896 "PCOS-E"
"121" "Sample1106" -0.23832985838968 -0.0963424252865572 "HC-E"
"122" "Sample1107" -0.246695536939368 0.060386047138359 "PCOS-E"
"123" "Sample1108" -0.247061594048594 0.103109159439938 "HC-E"
"124" "Sample1109" -0.267935150353834 0.0277091131476989 "PCOS-E"
"125" "Sample111" -0.263425396378441 0.0698862838576243 "HC-E"
"126" "Sample1110" -0.295914246224857 0.0626496696081836 "HC-E"
"127" "Sample1111" -0.25683870434649 0.081673549075556 "HC-E"
"128" "Sample1112" -0.244031205902354 -0.0345962821733745 "HC-E"
"129" "Sample1113" -0.281782142009918 0.0752540276383204 "PCOS-E"
"130" "Sample1114" -0.277049635817007 0.104988160709287 "HC-E"
"131" "Sample1115" -0.296476254171099 0.0715996719307225 "HC-E"
"132" "Sample1116" -0.280122648783943 -0.0716549050168674 "HC-E"
"133" "Sample1117" -0.283646883354633 0.0827666609726011 "PCOS-E"
"134" "Sample1118" -0.301688584994296 0.0640481465171239 "HC-E"
"135" "Sample1119" -0.264804188249815 0.0419840505646014 "HC-E"
"136" "Sample112" -0.269387936558469 0.0404454565135989 "PCOS-E"
"137" "Sample1120" -0.250588310431107 -0.0499404313965839 "HC-E"
"138" "Sample1121" -0.268652959730599 0.0823553767091113 "HC-E"
"139" "Sample1122" -0.195578470790616 -0.0593857442452894 "PCOS-E"
"140" "Sample1123" -0.282445560547097 0.0809140278362373 "HC-E"
"141" "Sample1124" -0.278643428886571 0.0858288371890223 "HC-E"
"142" "Sample1125" -0.284860848068478 0.0734824393933808 "HC-E"
"143" "Sample1126" -0.266968387849213 0.0850386573639461 "PCOS-E"
"144" "Sample1127" -0.265355149165022 0.00241989071662319 "HC-E"
"145" "Sample1128" -0.280181414940344 0.0772487093705332 "PCOS-E"
"146" "Sample1129" -0.279597506367608 0.113770392644201 "HC-E"
"147" "Sample113" -0.252183766174806 0.100963813641039 "HC-E"
"148" "Sample1130" -0.25751460485376 0.0494853649521639 "HC-E"
"149" "Sample1131" -0.276521029365524 0.0381055504996524 "HC-E"
"150" "Sample1132" -0.244420303506941 0.0711915237102154 "HC-E"
"151" "Sample1133" -0.269979229619392 0.0826300308627265 "HC-E"
"152" "Sample1134" -0.294258308651632 0.0459870717364496 "HC-E"
"153" "Sample1135" -0.295143826901187 0.0173344029159697 "PCOS-E"
"154" "Sample1136" -0.28496820001828 0.0604214169773637 "HC-E"
"155" "Sample1137" -0.293484640122852 0.0741905815015235 "HC-E"
"156" "Sample1138" -0.214484789973177 0.0717595531491704 "PCOS-E"
"157" "Sample1139" -0.248811076800557 0.0521218673549077 "HC-E"
"158" "Sample114" -0.240215520481141 0.0765290526607418 "HC-E"
"159" "Sample1140" -0.262463946693243 -0.0474994409706074 "HC-E"
"160" "Sample1141" -0.257032985293384 0.0226118091758246 "PCOS-E"
"161" "Sample1142" -0.287268786140807 -0.028163164306199 "HC-E"
"162" "Sample1143" -0.212486941165965 0.0984238986548333 "HC-E"
"163" "Sample1144" -0.297200850788367 0.0359221114690737 "HC-E"
"164" "Sample1145" -0.227741353823416 -0.0656884763566746 "PCOS-E"
"165" "Sample1146" -0.281920535651509 0.097240573964394 "PCOS-E"
"166" "Sample1147" -0.275752507081832 0.0582427595166088 "HC-E"
"167" "Sample1148" -0.205654729743026 0.0581610014640229 "PCOS-E"
"168" "Sample1149" -0.205906546814725 0.0104211838928434 "HC-E"
"169" "Sample115" -0.230566200959298 -0.0730317651599768 "HC-E"
"170" "Sample1150" -0.260177151102068 0.105143238182023 "PCOS-E"
"171" "Sample1151" -0.313014927279526 0.0701159370808713 "HC-E"
"172" "Sample1152" -0.203882572479272 -0.0998158695636764 "HC-E"
"173" "Sample1153" -0.254259642515296 0.101143031503383 "HC-E"
"174" "Sample1154" -0.273434359727897 0.0965955564703933 "HC-E"
"175" "Sample1155" -0.253375910369574 0.0980002624665237 "PCOS-E"
"176" "Sample1156" -0.30121401808175 0.0512750785440043 "PCOS-E"
"177" "Sample1157" -0.282900727851265 0.0962378840743379 "PCOS-E"
"178" "Sample1158" -0.263198221811008 -0.0548548655093021 "HC-E"
"179" "Sample1159" -0.25246468576339 0.0877820513608986 "HC-E"
"180" "Sample116" -0.256222414976805 0.0761395426354359 "PCOS-E"
"181" "Sample1160" -0.216438210666323 0.0874699716636111 "PCOS-E"
"182" "Sample1161" -0.266239455108444 0.0842509527561933 "HC-E"
"183" "Sample1162" -0.269313307567545 0.0994799791001847 "HC-E"
"184" "Sample1163" -0.265556915224921 -0.0650757073063302 "HC-E"
"185" "Sample1164" -0.212820998108051 0.0189763310668442 "HC-E"
"186" "Sample1165" -0.277493502831903 -0.0425231255157377 "HC-E"
"187" "Sample1166" -0.316822855004365 0.0475187234904324 "HC-E"
