samples	group
Sample481	HC
Sample482	HC
Sample483	HC
Sample484	HC
Sample486	HC
Sample487	HC
Sample488	HC
Sample489	HC
Sample490	HC
Sample491	HC
Sample525	HC
Sample526	HC
Sample527	HC
Sample528	HC
Sample529	HC
Sample530	HC
Sample531	HC
Sample532	HC
Sample533	HC
Sample534	HC
Sample536	HC
Sample537	HC
Sample538	HC
Sample539	HC
Sample540	HC
Sample541	HC
Sample542	HC
Sample543	HC
Sample544	HC
Sample545	HC
Sample562	HC
Sample568	HC
Sample570	HC
Sample573	HC
Sample575	HC
Sample577	HC
Sample583	HC
Sample585	HC
Sample588	HC
Sample589	HC
Sample594	HC
Sample596	HC
Sample605	HC
Sample607	HC
Sample608	HC
Sample610	HC
Sample612	HC
Sample615	HC
Sample616	HC
Sample617	HC
Sample618	HC
Sample619	HC
Sample620	HC
Sample621	HC
Sample622	HC
Sample623	HC
Sample624	HC
Sample625	HC
Sample626	HC
Sample627	HC
Sample628	HC
Sample629	HC
Sample630	HC
Sample631	HC
Sample632	HC
Sample634	HC
Sample635	HC
Sample636	HC
Sample637	HC
Sample638	HC
Sample639	HC
Sample642	HC
Sample643	HC
Sample644	HC
Sample645	HC
Sample647	HC
Sample649	HC
Sample650	HC
Sample651	HC
Sample653	HC
Sample654	HC
Sample655	HC
Sample656	HC
Sample657	HC
Sample658	HC
Sample660	HC
Sample661	HC
Sample662	HC
Sample663	HC
Sample664	HC
Sample665	HC
Sample666	HC
Sample667	HC
Sample668	HC
Sample669	HC
Sample670	HC
Sample671	HC
Sample672	HC
Sample673	HC
Sample674	HC
Sample675	HC
Sample676	HC
Sample677	HC
Sample678	HC
Sample679	HC
Sample680	HC
Sample682	HC
Sample683	HC
Sample684	HC
Sample685	HC
Sample686	HC
Sample687	HC
Sample688	HC
Sample689	HC
Sample690	HC
Sample692	HC
Sample693	HC
Sample694	HC
Sample695	HC
Sample696	HC
Sample697	HC
Sample698	HC
Sample699	HC
Sample701	HC
Sample703	HC
Sample704	HC
Sample705	HC
Sample708	HC
Sample709	HC
Sample710	HC
Sample712	HC
Sample713	HC
Sample714	HC
Sample715	HC
Sample716	HC
Sample717	HC
Sample718	HC
Sample719	HC
Sample720	HC
Sample721	HC
Sample722	HC
Sample723	HC
Sample726	HC
Sample727	HC
Sample728	HC
Sample729	HC
Sample731	HC
Sample732	HC
Sample733	HC
Sample734	HC
Sample735	HC
Sample736	HC
Sample737	HC
Sample738	HC
Sample739	HC
Sample741	HC
Sample745	HC
Sample746	HC
Sample749	HC
Sample750	HC
Sample752	HC
Sample753	HC
Sample762	HC
Sample773	HC
Sample784	HC
Sample795	HC
Sample805	HC
Sample806	HC
Sample807	HC
Sample808	HC
Sample809	HC
Sample810	HC
Sample811	HC
Sample812	HC
Sample813	HC
Sample814	HC
Sample815	HC
Sample816	HC
Sample817	HC
Sample818	HC
Sample819	HC
Sample820	HC
Sample821	HC
Sample822	HC
Sample823	HC
Sample824	HC
Sample825	HC
Sample826	HC
Sample827	HC
Sample828	HC
Sample829	HC
Sample830	HC
Sample831	HC
Sample832	HC
Sample833	HC
Sample834	HC
Sample835	HC
Sample836	HC
Sample837	HC
Sample838	HC
Sample839	HC
Sample840	HC
Sample846	HC
Sample847	HC
Sample848	HC
Sample849	HC
Sample850	HC
Sample851	HC
Sample852	HC
Sample853	HC
Sample855	HC
Sample856	HC
Sample857	HC
Sample858	HC
Sample859	HC
Sample860	HC
Sample861	HC
Sample862	HC
Sample863	HC
Sample864	HC
Sample866	HC
Sample867	HC
Sample868	HC
Sample869	HC
Sample870	HC
Sample871	HC
Sample899	HC
Sample910	HC
Sample921	HC
Sample932	HC
Sample943	HC
Sample954	HC
Sample957	HC
Sample958	HC
Sample959	HC
Sample960	HC
Sample961	HC
Sample962	HC
Sample963	HC
Sample964	HC
Sample965	HC
Sample966	HC
Sample967	HC
Sample968	HC
Sample969	HC
Sample970	HC
Sample971	HC
Sample972	HC
Sample973	HC
Sample974	HC
Sample975	HC
Sample976	HC
Sample977	HC
Sample978	HC
Sample979	HC
Sample980	HC
Sample987	HC
Sample998	HC
Sample1009	HC
Sample1020	HC
Sample1021	HC
Sample1022	HC
Sample1023	HC
Sample1024	HC
Sample1025	HC
Sample1026	HC
Sample1027	HC
Sample1028	HC
Sample1039	HC
Sample1050	HC
Sample1051	HC
Sample1052	HC
Sample1053	HC
Sample1054	HC
Sample1055	HC
Sample1056	HC
Sample1057	HC
Sample1058	HC
Sample1059	HC
Sample1060	HC
Sample1061	HC
Sample1062	HC
Sample1065	HC
Sample1066	HC
Sample1069	HC
Sample1070	HC
Sample1071	HC
Sample1073	HC
Sample1074	HC
Sample1075	HC
Sample1076	HC
Sample1077	HC
Sample1079	HC
Sample1081	HC
Sample1082	HC
Sample1083	HC
Sample1084	HC
Sample1086	HC
Sample1088	HC
Sample1092	HC
Sample1094	HC
Sample1095	HC
Sample1096	HC
Sample1097	HC
Sample1099	HC
Sample1100	HC
Sample1101	HC
Sample1106	HC
Sample1108	HC
Sample1110	HC
Sample1111	HC
Sample1112	HC
Sample1114	HC
Sample1115	HC
Sample1116	HC
Sample1118	HC
Sample1119	HC
Sample1120	HC
Sample1121	HC
Sample1123	HC
Sample1124	HC
Sample1125	HC
Sample1127	HC
Sample1129	HC
Sample1130	HC
Sample1131	HC
Sample1132	HC
Sample1133	HC
Sample1134	HC
Sample1136	HC
Sample1137	HC
Sample1139	HC
Sample1140	HC
Sample1142	HC
Sample1143	HC
Sample1144	HC
Sample1147	HC
Sample1149	HC
Sample1151	HC
Sample1152	HC
Sample1153	HC
Sample1154	HC
Sample1158	HC
Sample1159	HC
Sample1161	HC
Sample1162	HC
Sample1163	HC
Sample1164	HC
Sample1165	HC
Sample1166	HC
Sample1167	HC
Sample1168	HC
Sample1172	HC
Sample1173	HC
Sample1175	HC
Sample1176	HC
Sample1177	HC
Sample1179	HC
Sample1180	HC
Sample1181	HC
Sample1182	HC
Sample1183	HC
Sample1184	HC
Sample1185	HC
Sample1187	HC
Sample1189	HC
Sample1190	HC
Sample1191	HC
Sample1192	HC
Sample1194	HC
Sample1195	HC
Sample1198	HC
Sample1200	HC
Sample1204	HC
Sample1205	HC
Sample1206	HC
Sample1207	HC
Sample1208	HC
Sample1211	HC
Sample1213	HC
Sample1215	HC
Sample1216	HC
Sample1219	HC
Sample1220	HC
Sample1221	HC
Sample1223	HC
Sample1224	HC
Sample1226	HC
Sample1227	HC
Sample1228	HC
Sample1230	HC
Sample1231	HC
Sample1232	HC
Sample1235	HC
Sample1236	HC
Sample1237	HC
Sample1238	HC
Sample1239	HC
Sample1241	HC
Sample1242	HC
Sample1244	HC
Sample1246	HC
Sample1249	HC
Sample1250	HC
Sample1253	HC
Sample1254	HC
Sample1255	HC
Sample1256	HC
Sample1257	HC
Sample1258	HC
Sample1260	HC
Sample1261	HC
Sample1262	HC
Sample1264	HC
Sample1265	HC
Sample1266	HC
Sample1267	HC
Sample1268	HC
Sample1270	HC
Sample1271	HC
Sample1272	HC
Sample1273	HC
Sample1274	HC
Sample1275	HC
Sample1276	HC
Sample1277	HC
Sample1278	HC
Sample1279	HC
Sample1280	HC
Sample1281	HC
Sample1283	HC
Sample1284	HC
Sample1288	HC
Sample1290	HC
Sample1292	HC
Sample1294	HC
Sample1296	HC
Sample1297	HC
Sample1298	HC
Sample1301	HC
Sample1302	HC
Sample1303	HC
Sample1304	HC
Sample1305	HC
Sample1306	HC
Sample1308	HC
Sample1309	HC
Sample1310	HC
Sample1312	HC
Sample1314	HC
Sample1315	HC
Sample1316	HC
Sample1317	HC
Sample1319	HC
Sample1320	HC
Sample1323	HC
Sample1325	HC
Sample1327	HC
Sample1328	HC
Sample1331	HC
Sample1332	HC
Sample1334	HC
Sample1335	HC
Sample1336	HC
Sample1337	HC
Sample1339	HC
Sample1340	HC
Sample1341	HC
Sample1344	HC
Sample1345	HC
Sample1346	HC
Sample1348	HC
Sample1349	HC
Sample1350	HC
Sample1351	HC
Sample1352	HC
Sample1355	HC
Sample1357	HC
Sample1358	HC
Sample1360	HC
Sample1363	HC
Sample1364	HC
Sample1365	HC
Sample1367	HC
Sample1368	HC
Sample1374	HC
Sample1375	HC
Sample1376	HC
Sample1380	HC
Sample1382	HC
Sample1385	HC
Sample1388	HC
Sample1390	HC
Sample1391	HC
Sample1395	HC
Sample1396	HC
Sample1397	HC
Sample1400	HC
Sample1402	HC
Sample1404	HC
Sample1407	HC
Sample1410	HC
Sample1415	HC
Sample1417	HC
Sample1420	HC
Sample1424	HC
Sample1428	HC
Sample1429	HC
Sample1430	HC
Sample1431	HC
Sample1432	HC
Sample1435	HC
Sample1438	HC
Sample1439	HC
Sample1440	HC
Sample1441	HC
Sample1442	HC
Sample1443	HC
Sample1444	HC
Sample1446	HC
Sample1448	HC
Sample1449	HC
Sample1450	HC
Sample1453	HC
Sample1464	HC
Sample1473	HC
Sample1474	HC
Sample1475	HC
Sample1476	HC
Sample1477	HC
Sample1478	HC
Sample1479	HC
Sample1480	HC
Sample1481	HC
Sample1482	HC
Sample1483	HC
Sample1484	HC
Sample1485	HC
Sample1486	HC
Sample1487	HC
Sample1488	HC
Sample1492	HC
Sample1496	HC
Sample1501	HC
Sample1502	HC
Sample1503	HC
Sample1504	HC
Sample1505	HC
Sample1506	HC
Sample1507	HC
Sample1508	HC
Sample1509	HC
Sample1510	HC
Sample1511	HC
Sample1512	HC
Sample1513	HC
Sample1514	HC
Sample1515	HC
Sample1516	HC
Sample1517	HC
Sample1518	HC
Sample1522	HC
Sample1533	HC
Sample1539	HC
Sample1540	HC
Sample1541	HC
Sample1569	HC
Sample1570	HC
Sample1571	HC
Sample1572	HC
Sample1573	HC
Sample1574	HC
Sample1575	HC
Sample1577	HC
Sample1578	HC
Sample1579	HC
Sample1580	HC
Sample1581	HC
Sample1582	HC
Sample1583	HC
Sample1584	HC
Sample1590	HC
Sample1591	HC
Sample1592	HC
Sample1593	HC
Sample1594	HC
Sample1595	HC
Sample1600	HC
Sample1611	HC
Sample1615	HC
Sample1616	HC
Sample1617	HC
Sample1618	HC
Sample1619	HC
Sample1620	HC
Sample1621	HC
Sample1622	HC
Sample1623	HC
Sample1	PCOS
Sample2	PCOS
Sample5	PCOS
Sample6	PCOS
Sample10	PCOS
Sample16	PCOS
Sample18	PCOS
Sample23	PCOS
Sample25	PCOS
Sample27	PCOS
Sample28	PCOS
Sample29	PCOS
Sample31	PCOS
Sample36	PCOS
Sample40	PCOS
Sample41	PCOS
Sample42	PCOS
Sample43	PCOS
Sample45	PCOS
Sample47	PCOS
Sample51	PCOS
Sample55	PCOS
Sample60	PCOS
Sample64	PCOS
Sample66	PCOS
Sample73	PCOS
Sample76	PCOS
Sample79	PCOS
Sample83	PCOS
Sample84	PCOS
Sample86	PCOS
Sample88	PCOS
Sample93	PCOS
Sample94	PCOS
Sample95	PCOS
Sample98	PCOS
Sample107	PCOS
Sample108	PCOS
Sample109	PCOS
Sample112	PCOS
Sample116	PCOS
Sample124	PCOS
Sample126	PCOS
Sample131	PCOS
Sample134	PCOS
Sample135	PCOS
Sample137	PCOS
Sample139	PCOS
Sample140	PCOS
Sample141	PCOS
Sample147	PCOS
Sample148	PCOS
Sample150	PCOS
Sample152	PCOS
Sample155	PCOS
Sample156	PCOS
Sample160	PCOS
Sample163	PCOS
Sample167	PCOS
Sample171	PCOS
Sample172	PCOS
Sample178	PCOS
Sample181	PCOS
Sample183	PCOS
Sample185	PCOS
Sample186	PCOS
Sample189	PCOS
Sample190	PCOS
Sample197	PCOS
Sample201	PCOS
Sample207	PCOS
Sample220	PCOS
Sample223	PCOS
Sample224	PCOS
Sample225	PCOS
Sample227	PCOS
Sample229	PCOS
Sample231	PCOS
Sample233	PCOS
Sample237	PCOS
Sample238	PCOS
Sample245	PCOS
Sample249	PCOS
Sample251	PCOS
Sample256	PCOS
Sample259	PCOS
Sample260	PCOS
Sample262	PCOS
Sample264	PCOS
Sample267	PCOS
Sample268	PCOS
Sample271	PCOS
Sample276	PCOS
Sample280	PCOS
Sample281	PCOS
Sample285	PCOS
Sample291	PCOS
Sample292	PCOS
Sample294	PCOS
Sample297	PCOS
Sample299	PCOS
Sample300	PCOS
Sample308	PCOS
Sample313	PCOS
Sample314	PCOS
Sample315	PCOS
Sample316	PCOS
Sample317	PCOS
Sample318	PCOS
Sample319	PCOS
Sample320	PCOS
Sample322	PCOS
Sample323	PCOS
Sample339	PCOS
Sample340	PCOS
Sample341	PCOS
Sample343	PCOS
Sample344	PCOS
Sample345	PCOS
Sample346	PCOS
Sample347	PCOS
Sample348	PCOS
Sample349	PCOS
Sample350	PCOS
Sample351	PCOS
Sample352	PCOS
Sample353	PCOS
Sample355	PCOS
Sample356	PCOS
Sample357	PCOS
Sample358	PCOS
Sample359	PCOS
Sample360	PCOS
Sample361	PCOS
Sample362	PCOS
Sample363	PCOS
Sample364	PCOS
Sample365	PCOS
Sample366	PCOS
Sample367	PCOS
Sample368	PCOS
Sample369	PCOS
Sample370	PCOS
Sample371	PCOS
Sample372	PCOS
Sample373	PCOS
Sample374	PCOS
Sample375	PCOS
Sample376	PCOS
Sample377	PCOS
Sample378	PCOS
Sample379	PCOS
Sample380	PCOS
Sample381	PCOS
Sample382	PCOS
Sample383	PCOS
Sample384	PCOS
Sample385	PCOS
Sample386	PCOS
Sample387	PCOS
Sample388	PCOS
Sample389	PCOS
Sample390	PCOS
Sample391	PCOS
Sample392	PCOS
Sample393	PCOS
Sample394	PCOS
Sample395	PCOS
Sample396	PCOS
Sample397	PCOS
Sample398	PCOS
Sample399	PCOS
Sample400	PCOS
Sample401	PCOS
Sample402	PCOS
Sample403	PCOS
Sample404	PCOS
Sample405	PCOS
Sample406	PCOS
Sample407	PCOS
Sample408	PCOS
Sample409	PCOS
Sample410	PCOS
Sample411	PCOS
Sample412	PCOS
Sample413	PCOS
Sample414	PCOS
Sample415	PCOS
Sample416	PCOS
Sample417	PCOS
Sample418	PCOS
Sample446	PCOS
Sample458	PCOS
Sample460	PCOS
Sample462	PCOS
Sample463	PCOS
Sample464	PCOS
Sample469	PCOS
Sample470	PCOS
Sample475	PCOS
Sample476	PCOS
Sample477	PCOS
Sample480	PCOS
Sample485	PCOS
Sample492	PCOS
Sample493	PCOS
Sample494	PCOS
Sample495	PCOS
Sample496	PCOS
Sample497	PCOS
Sample498	PCOS
Sample499	PCOS
Sample500	PCOS
Sample501	PCOS
Sample502	PCOS
Sample503	PCOS
Sample504	PCOS
Sample505	PCOS
Sample506	PCOS
Sample507	PCOS
Sample508	PCOS
Sample509	PCOS
Sample510	PCOS
Sample511	PCOS
Sample512	PCOS
Sample513	PCOS
Sample514	PCOS
Sample515	PCOS
Sample516	PCOS
Sample517	PCOS
Sample518	PCOS
Sample519	PCOS
Sample520	PCOS
Sample521	PCOS
Sample522	PCOS
Sample523	PCOS
Sample524	PCOS
Sample535	PCOS
Sample546	PCOS
Sample547	PCOS
Sample548	PCOS
Sample549	PCOS
Sample550	PCOS
Sample551	PCOS
Sample552	PCOS
Sample553	PCOS
Sample554	PCOS
Sample555	PCOS
Sample556	PCOS
Sample557	PCOS
Sample558	PCOS
Sample559	PCOS
Sample560	PCOS
Sample561	PCOS
Sample563	PCOS
Sample564	PCOS
Sample565	PCOS
Sample566	PCOS
Sample567	PCOS
Sample569	PCOS
Sample571	PCOS
Sample572	PCOS
Sample574	PCOS
Sample576	PCOS
Sample578	PCOS
Sample579	PCOS
Sample580	PCOS
Sample581	PCOS
Sample582	PCOS
Sample584	PCOS
Sample586	PCOS
Sample587	PCOS
Sample590	PCOS
Sample591	PCOS
Sample592	PCOS
Sample593	PCOS
Sample595	PCOS
Sample597	PCOS
Sample598	PCOS
Sample599	PCOS
Sample600	PCOS
Sample601	PCOS
Sample602	PCOS
Sample603	PCOS
Sample604	PCOS
Sample606	PCOS
Sample609	PCOS
Sample611	PCOS
Sample613	PCOS
Sample614	PCOS
Sample633	PCOS
Sample640	PCOS
Sample641	PCOS
Sample646	PCOS
Sample648	PCOS
Sample652	PCOS
Sample659	PCOS
Sample681	PCOS
Sample691	PCOS
Sample700	PCOS
Sample702	PCOS
Sample706	PCOS
Sample707	PCOS
Sample711	PCOS
Sample724	PCOS
Sample725	PCOS
Sample730	PCOS
Sample740	PCOS
Sample742	PCOS
Sample743	PCOS
Sample744	PCOS
Sample747	PCOS
Sample748	PCOS
Sample751	PCOS
Sample754	PCOS
Sample755	PCOS
Sample756	PCOS
Sample757	PCOS
Sample758	PCOS
Sample759	PCOS
Sample760	PCOS
Sample761	PCOS
Sample763	PCOS
Sample764	PCOS
Sample765	PCOS
Sample766	PCOS
Sample767	PCOS
Sample768	PCOS
Sample769	PCOS
Sample770	PCOS
Sample771	PCOS
Sample772	PCOS
Sample774	PCOS
Sample775	PCOS
Sample776	PCOS
Sample777	PCOS
Sample778	PCOS
Sample779	PCOS
Sample780	PCOS
Sample781	PCOS
Sample782	PCOS
Sample783	PCOS
Sample785	PCOS
Sample786	PCOS
Sample787	PCOS
Sample788	PCOS
Sample789	PCOS
Sample790	PCOS
Sample791	PCOS
Sample792	PCOS
Sample793	PCOS
Sample794	PCOS
Sample796	PCOS
Sample797	PCOS
Sample798	PCOS
Sample799	PCOS
Sample800	PCOS
Sample801	PCOS
Sample802	PCOS
Sample803	PCOS
Sample804	PCOS
Sample841	PCOS
Sample842	PCOS
Sample843	PCOS
Sample844	PCOS
Sample845	PCOS
Sample854	PCOS
Sample865	PCOS
Sample872	PCOS
Sample873	PCOS
Sample874	PCOS
Sample875	PCOS
Sample876	PCOS
Sample877	PCOS
Sample878	PCOS
Sample879	PCOS
Sample880	PCOS
Sample881	PCOS
Sample882	PCOS
Sample883	PCOS
Sample884	PCOS
Sample885	PCOS
Sample886	PCOS
Sample887	PCOS
Sample888	PCOS
Sample889	PCOS
Sample890	PCOS
Sample891	PCOS
Sample892	PCOS
Sample893	PCOS
Sample894	PCOS
Sample895	PCOS
Sample896	PCOS
Sample897	PCOS
Sample898	PCOS
Sample900	PCOS
Sample901	PCOS
Sample902	PCOS
Sample903	PCOS
Sample904	PCOS
Sample905	PCOS
Sample906	PCOS
Sample907	PCOS
Sample908	PCOS
Sample909	PCOS
Sample911	PCOS
Sample912	PCOS
Sample913	PCOS
Sample914	PCOS
Sample915	PCOS
Sample916	PCOS
Sample917	PCOS
Sample918	PCOS
Sample919	PCOS
Sample920	PCOS
Sample922	PCOS
Sample923	PCOS
Sample924	PCOS
Sample925	PCOS
Sample926	PCOS
Sample927	PCOS
Sample928	PCOS
Sample929	PCOS
Sample930	PCOS
Sample931	PCOS
Sample933	PCOS
Sample934	PCOS
Sample935	PCOS
Sample936	PCOS
Sample937	PCOS
Sample938	PCOS
Sample939	PCOS
Sample940	PCOS
Sample941	PCOS
Sample942	PCOS
Sample944	PCOS
Sample945	PCOS
Sample946	PCOS
Sample947	PCOS
Sample948	PCOS
Sample949	PCOS
Sample950	PCOS
Sample951	PCOS
Sample952	PCOS
Sample953	PCOS
Sample955	PCOS
Sample956	PCOS
Sample981	PCOS
Sample982	PCOS
Sample983	PCOS
Sample984	PCOS
Sample985	PCOS
Sample986	PCOS
Sample988	PCOS
Sample989	PCOS
Sample990	PCOS
Sample991	PCOS
Sample992	PCOS
Sample993	PCOS
Sample994	PCOS
Sample995	PCOS
Sample996	PCOS
Sample997	PCOS
Sample999	PCOS
Sample1000	PCOS
Sample1001	PCOS
Sample1002	PCOS
Sample1003	PCOS
Sample1004	PCOS
Sample1005	PCOS
Sample1006	PCOS
Sample1007	PCOS
Sample1008	PCOS
Sample1010	PCOS
Sample1011	PCOS
Sample1012	PCOS
Sample1013	PCOS
Sample1014	PCOS
Sample1015	PCOS
Sample1016	PCOS
Sample1017	PCOS
Sample1018	PCOS
Sample1019	PCOS
Sample1029	PCOS
Sample1030	PCOS
Sample1031	PCOS
Sample1032	PCOS
Sample1033	PCOS
Sample1034	PCOS
Sample1035	PCOS
Sample1036	PCOS
Sample1037	PCOS
Sample1038	PCOS
Sample1040	PCOS
Sample1041	PCOS
Sample1042	PCOS
Sample1043	PCOS
Sample1044	PCOS
Sample1045	PCOS
Sample1046	PCOS
Sample1047	PCOS
Sample1048	PCOS
Sample1049	PCOS
Sample1063	PCOS
Sample1064	PCOS
Sample1067	PCOS
Sample1068	PCOS
Sample1072	PCOS
Sample1078	PCOS
Sample1080	PCOS
Sample1085	PCOS
Sample1087	PCOS
Sample1089	PCOS
Sample1090	PCOS
Sample1091	PCOS
Sample1093	PCOS
Sample1098	PCOS
Sample1102	PCOS
Sample1103	PCOS
Sample1104	PCOS
Sample1105	PCOS
Sample1107	PCOS
Sample1109	PCOS
Sample1113	PCOS
Sample1117	PCOS
Sample1122	PCOS
Sample1126	PCOS
Sample1128	PCOS
Sample1135	PCOS
Sample1138	PCOS
Sample1141	PCOS
Sample1145	PCOS
Sample1146	PCOS
Sample1148	PCOS
Sample1150	PCOS
Sample1155	PCOS
Sample1156	PCOS
Sample1157	PCOS
Sample1160	PCOS
Sample1169	PCOS
Sample1170	PCOS
Sample1171	PCOS
Sample1174	PCOS
Sample1178	PCOS
Sample1186	PCOS
Sample1188	PCOS
Sample1193	PCOS
Sample1196	PCOS
Sample1197	PCOS
Sample1199	PCOS
Sample1201	PCOS
Sample1202	PCOS
Sample1203	PCOS
Sample1209	PCOS
Sample1210	PCOS
Sample1212	PCOS
Sample1214	PCOS
Sample1217	PCOS
Sample1218	PCOS
Sample1222	PCOS
Sample1225	PCOS
Sample1229	PCOS
Sample1233	PCOS
Sample1234	PCOS
Sample1240	PCOS
Sample1243	PCOS
Sample1245	PCOS
Sample1247	PCOS
Sample1248	PCOS
Sample1251	PCOS
Sample1252	PCOS
Sample1259	PCOS
Sample1263	PCOS
Sample1269	PCOS
Sample1282	PCOS
Sample1285	PCOS
Sample1286	PCOS
Sample1287	PCOS
Sample1289	PCOS
Sample1291	PCOS
Sample1293	PCOS
Sample1295	PCOS
Sample1299	PCOS
Sample1300	PCOS
Sample1307	PCOS
Sample1311	PCOS
Sample1313	PCOS
Sample1318	PCOS
Sample1321	PCOS
Sample1322	PCOS
Sample1324	PCOS
Sample1326	PCOS
Sample1329	PCOS
Sample1330	PCOS
Sample1333	PCOS
Sample1338	PCOS
Sample1342	PCOS
Sample1343	PCOS
Sample1347	PCOS
Sample1353	PCOS
Sample1354	PCOS
Sample1356	PCOS
Sample1359	PCOS
Sample1361	PCOS
Sample1362	PCOS
Sample1366	PCOS
Sample1369	PCOS
Sample1370	PCOS
Sample1371	PCOS
Sample1372	PCOS
Sample1373	PCOS
Sample1377	PCOS
Sample1378	PCOS
Sample1379	PCOS
Sample1381	PCOS
Sample1383	PCOS
Sample1384	PCOS
Sample1386	PCOS
Sample1387	PCOS
Sample1389	PCOS
Sample1392	PCOS
Sample1393	PCOS
Sample1394	PCOS
Sample1398	PCOS
Sample1399	PCOS
Sample1401	PCOS
Sample1403	PCOS
Sample1405	PCOS
Sample1406	PCOS
Sample1408	PCOS
Sample1409	PCOS
Sample1411	PCOS
Sample1412	PCOS
Sample1413	PCOS
Sample1414	PCOS
Sample1416	PCOS
Sample1418	PCOS
Sample1419	PCOS
Sample1421	PCOS
Sample1422	PCOS
Sample1423	PCOS
Sample1425	PCOS
Sample1426	PCOS
Sample1427	PCOS
Sample1433	PCOS
Sample1434	PCOS
