samples	group
Sample3	HC
Sample4	HC
Sample7	HC
Sample8	HC
Sample9	HC
Sample11	HC
Sample12	HC
Sample13	HC
Sample14	HC
Sample15	HC
Sample17	HC
Sample19	HC
Sample20	HC
Sample21	HC
Sample22	HC
Sample24	HC
Sample26	HC
Sample30	HC
Sample32	HC
Sample33	HC
Sample34	HC
Sample35	HC
Sample37	HC
Sample38	HC
Sample39	HC
Sample44	HC
Sample46	HC
Sample48	HC
Sample49	HC
Sample50	HC
Sample52	HC
Sample53	HC
Sample54	HC
Sample56	HC
Sample57	HC
Sample58	HC
Sample59	HC
Sample61	HC
Sample62	HC
Sample63	HC
Sample65	HC
Sample67	HC
Sample68	HC
Sample69	HC
Sample70	HC
Sample71	HC
Sample72	HC
Sample74	HC
Sample75	HC
Sample77	HC
Sample78	HC
Sample80	HC
Sample81	HC
Sample82	HC
Sample85	HC
Sample87	HC
Sample89	HC
Sample90	HC
Sample91	HC
Sample92	HC
Sample96	HC
Sample97	HC
Sample99	HC
Sample100	HC
Sample101	HC
Sample102	HC
Sample103	HC
Sample104	HC
Sample105	HC
Sample106	HC
Sample110	HC
Sample111	HC
Sample113	HC
Sample114	HC
Sample115	HC
Sample117	HC
Sample118	HC
Sample119	HC
Sample120	HC
Sample121	HC
Sample122	HC
Sample123	HC
Sample125	HC
Sample127	HC
Sample128	HC
Sample129	HC
Sample130	HC
Sample132	HC
Sample133	HC
Sample136	HC
Sample138	HC
Sample142	HC
Sample143	HC
Sample144	HC
Sample145	HC
Sample146	HC
Sample149	HC
Sample151	HC
Sample153	HC
Sample154	HC
Sample157	HC
Sample158	HC
Sample159	HC
Sample161	HC
Sample162	HC
Sample164	HC
Sample165	HC
Sample166	HC
Sample168	HC
Sample169	HC
Sample170	HC
Sample173	HC
Sample174	HC
Sample175	HC
Sample176	HC
Sample177	HC
Sample179	HC
Sample180	HC
Sample182	HC
Sample184	HC
Sample187	HC
Sample188	HC
Sample191	HC
Sample192	HC
Sample193	HC
Sample194	HC
Sample195	HC
Sample196	HC
Sample198	HC
Sample199	HC
Sample200	HC
Sample202	HC
Sample203	HC
Sample204	HC
Sample205	HC
Sample206	HC
Sample208	HC
Sample209	HC
Sample210	HC
Sample211	HC
Sample212	HC
Sample213	HC
Sample214	HC
Sample215	HC
Sample216	HC
Sample217	HC
Sample218	HC
Sample219	HC
Sample221	HC
Sample222	HC
Sample226	HC
Sample228	HC
Sample230	HC
Sample232	HC
Sample234	HC
Sample235	HC
Sample236	HC
Sample239	HC
Sample240	HC
Sample241	HC
Sample242	HC
Sample243	HC
Sample244	HC
Sample246	HC
Sample247	HC
Sample248	HC
Sample250	HC
Sample252	HC
Sample253	HC
Sample254	HC
Sample255	HC
Sample257	HC
Sample258	HC
Sample261	HC
Sample263	HC
Sample265	HC
Sample266	HC
Sample269	HC
Sample270	HC
Sample272	HC
Sample273	HC
Sample274	HC
Sample275	HC
Sample277	HC
Sample278	HC
Sample279	HC
Sample282	HC
Sample283	HC
Sample284	HC
Sample286	HC
Sample287	HC
Sample288	HC
Sample289	HC
Sample290	HC
Sample293	HC
Sample295	HC
Sample296	HC
Sample298	HC
Sample301	HC
Sample302	HC
Sample303	HC
Sample304	HC
Sample305	HC
Sample306	HC
Sample307	HC
Sample309	HC
Sample310	HC
Sample311	HC
Sample312	HC
Sample321	HC
Sample324	HC
Sample325	HC
Sample326	HC
Sample327	HC
Sample328	HC
Sample329	HC
Sample330	HC
Sample331	HC
Sample332	HC
Sample333	HC
Sample334	HC
Sample335	HC
Sample336	HC
Sample337	HC
Sample338	HC
Sample342	HC
Sample354	HC
Sample419	HC
Sample420	HC
Sample421	HC
Sample422	HC
Sample423	HC
Sample424	HC
Sample425	HC
Sample426	HC
Sample427	HC
Sample428	HC
Sample429	HC
Sample430	HC
Sample431	HC
Sample432	HC
Sample433	HC
Sample434	HC
Sample435	HC
Sample436	HC
Sample437	HC
Sample438	HC
Sample439	HC
Sample440	HC
Sample441	HC
Sample442	HC
Sample443	HC
Sample444	HC
Sample445	HC
Sample447	HC
Sample448	HC
Sample449	HC
Sample450	HC
Sample451	HC
Sample452	HC
Sample453	HC
Sample454	HC
Sample455	HC
Sample456	HC
Sample457	HC
Sample459	HC
Sample461	HC
Sample465	HC
Sample466	HC
Sample467	HC
Sample468	HC
Sample471	HC
Sample472	HC
Sample473	HC
Sample474	HC
Sample478	HC
Sample479	HC
