"samples" "V1" "V2" "group"
"1" "Sample1" -0.25051023922948 -0.0721775415815578 "PCOS"
"2" "Sample10" -0.279133169756806 -0.094179342443519 "PCOS"
"3" "Sample100" -0.273512069126337 -0.0918157098331566 "HC"
"4" "Sample1000" 0.232467461021366 -0.082643328646251 "PCOS"
"5" "Sample1001" 0.256688752161892 0.143877931639406 "PCOS"
"6" "Sample1002" 0.251781691157649 0.0376592253819195 "PCOS"
"7" "Sample1003" 0.236487911264493 -0.159512252072763 "PCOS"
"8" "Sample1004" 0.244925011716409 -0.169318751094001 "PCOS"
"9" "Sample1005" 0.259830814267267 -0.167325830057715 "PCOS"
"10" "Sample1006" 0.262023007084031 -0.137172266325526 "PCOS"
"11" "Sample1007" 0.276414702208815 -0.0766940417179352 "PCOS"
"12" "Sample1008" 0.261794954118386 -0.105645527463062 "PCOS"
"13" "Sample1009" 0.240105733665925 0.0224783014208712 "HC"
"14" "Sample101" -0.249813060899233 0.0606735546238646 "HC"
"15" "Sample1010" 0.291393342432013 0.122257157414202 "PCOS"
"16" "Sample1011" 0.277349649524888 -0.168208053767271 "PCOS"
"17" "Sample1012" 0.26727513916914 -0.191455113447736 "PCOS"
"18" "Sample1013" 0.217324622488853 -0.19761592289225 "PCOS"
"19" "Sample1014" 0.262994366493968 -0.150384197582215 "PCOS"
"20" "Sample1015" 0.254355430832669 -0.160486676701825 "PCOS"
"21" "Sample1016" 0.21691859351012 -0.1739436833145 "PCOS"
"22" "Sample1017" 0.266263612304107 -0.164253575526325 "PCOS"
"23" "Sample1018" 0.222023642894849 -0.180726249009448 "PCOS"
"24" "Sample1019" 0.196054700813468 -0.153235973037785 "PCOS"
"25" "Sample102" -0.220591802880809 -0.024100230671622 "HC"
"26" "Sample1020" 0.246655552966541 -0.172414032753453 "HC"
"27" "Sample1021" 0.2698203081627 -0.167652825176078 "HC"
"28" "Sample1022" 0.232792883949574 -0.163649247230003 "HC"
"29" "Sample1023" 0.181172090599691 -0.0589685374449969 "HC"
"30" "Sample1024" 0.259969752441409 0.0608607749793155 "HC"
"31" "Sample1025" 0.200370386132779 0.0450098339879047 "HC"
"32" "Sample1026" 0.19089721817831 -0.0546882170103501 "HC"
"33" "Sample1027" 0.238850180248876 -0.0406349419749438 "HC"
"34" "Sample1028" 0.185829975010696 -0.0216298609165661 "HC"
"35" "Sample1029" 0.181155493892614 -0.0250023909806004 "PCOS"
"36" "Sample103" -0.267417617390386 0.0441407936554814 "HC"
"37" "Sample1030" 0.130465004575197 0.000672042557296012 "PCOS"
"38" "Sample1031" 0.243343717123976 -0.0322877595529528 "PCOS"
"39" "Sample1032" 0.185527829085775 -0.0200429599991454 "PCOS"
"40" "Sample1033" 0.229384077154682 -0.00468920288588448 "PCOS"
"41" "Sample1034" 0.240487784818968 -0.00764330832112546 "PCOS"
"42" "Sample1035" 0.201858049355234 -0.0179976614770624 "PCOS"
"43" "Sample1036" 0.157158192958119 0.0455936870892699 "PCOS"
"44" "Sample1037" 0.214227446928396 -0.0876250198283734 "PCOS"
"45" "Sample1038" 0.245647954371955 0.0336966910449703 "PCOS"
"46" "Sample1039" 0.232077124405184 -0.0107735994332333 "HC"
"47" "Sample104" -0.30039391035551 -0.0571459783500984 "HC"
"48" "Sample1040" 0.217028310113216 0.108658771762569 "PCOS"
"49" "Sample1041" 0.211397008532321 -0.00529238085728343 "PCOS"
"50" "Sample1042" 0.217906682808769 -0.0690266118776046 "PCOS"
"51" "Sample1043" 0.267862433013616 -0.0549486492160482 "PCOS"
"52" "Sample1044" 0.213418535658419 -0.0379592303942414 "PCOS"
"53" "Sample1045" 0.260995759230379 -0.025765343623431 "PCOS"
"54" "Sample1046" 0.254263565025077 0.0166630100269686 "PCOS"
"55" "Sample1047" 0.198137274645057 -0.0595490708135364 "PCOS"
"56" "Sample1048" 0.236909734877426 0.048732060683492 "PCOS"
"57" "Sample1049" 0.248073332839205 0.00182573818617316 "PCOS"
"58" "Sample105" -0.248966571201502 -0.03837448003874 "HC"
"59" "Sample1050" 0.228667385199388 -0.018226942293668 "HC"
"60" "Sample1051" 0.241465414913215 0.0222840496688591 "HC"
"61" "Sample1052" 0.174835305151108 -0.073050312889254 "HC"
"62" "Sample1053" 0.232035734494175 -0.015153496968746 "HC"
"63" "Sample1054" 0.192483976041979 -0.0397913483292877 "HC"
"64" "Sample1055" 0.20421454422421 0.113298305430149 "HC"
"65" "Sample1056" 0.192330056436378 0.0222485686092695 "HC"
"66" "Sample1057" 0.209643483170384 0.0272684616576117 "HC"
"67" "Sample1058" 0.248040029975813 0.0361941669052735 "HC"
"68" "Sample1059" 0.23752692855201 -0.0527402270745844 "HC"
"69" "Sample106" -0.262806800508062 -0.0153708882695437 "HC"
"70" "Sample1060" 0.201234372717641 -0.0325601443627265 "HC"
"71" "Sample1061" 0.25480683355802 -0.0126334297665358 "HC"
"72" "Sample1062" 0.284459930599418 -0.0201409051407532 "HC"
"73" "Sample1063" -0.244767999292494 -0.0659759668232871 "PCOS"
"74" "Sample1064" -0.265999481747657 -0.0306010863624308 "PCOS"
"75" "Sample1065" -0.258123530967817 0.0134678294882516 "HC"
"76" "Sample1066" -0.292429553265599 -0.0664707009342564 "HC"
"77" "Sample1067" -0.259020204964515 -0.087599708176786 "PCOS"
"78" "Sample1068" -0.28865453360028 -0.0272451782196419 "PCOS"
"79" "Sample1069" -0.280170179602466 -0.0125717857009259 "HC"
"80" "Sample107" -0.258569881733623 -0.0708805153791034 "PCOS"
"81" "Sample1070" -0.290169277056147 -0.0837127433225829 "HC"
"82" "Sample1071" -0.27691153641564 -0.0712418810235434 "HC"
"83" "Sample1072" -0.284552756721586 -0.0960169205232634 "PCOS"
"84" "Sample1073" -0.262307615354126 -0.0664714489732463 "HC"
"85" "Sample1074" -0.260909312658894 -0.0587945241838195 "HC"
"86" "Sample1075" -0.259610501041532 -0.00751816739335186 "HC"
"87" "Sample1076" -0.255960449174619 -0.088326993419023 "HC"
"88" "Sample1077" -0.256985802856312 -0.103395752371287 "HC"
"89" "Sample1078" -0.260367734925064 -0.0855035406978872 "PCOS"
"90" "Sample1079" -0.285866191327636 0.0144464344774867 "HC"
"91" "Sample108" -0.247320973762473 -0.0406720051603562 "PCOS"
"92" "Sample1080" -0.257231532000589 0.0392565628155168 "PCOS"
"93" "Sample1081" -0.284989545927737 -0.0941501837550998 "HC"
"94" "Sample1082" -0.209887347751753 -0.063194800746882 "HC"
"95" "Sample1083" -0.280169236307285 0.00338796067902856 "HC"
"96" "Sample1084" -0.250205027151 0.0446589963666671 "HC"
"97" "Sample1085" -0.257695691467318 -0.0818728174442251 "PCOS"
"98" "Sample1086" -0.267498409647547 -0.102621618836184 "HC"
"99" "Sample1087" -0.284592501634922 -0.0512335088924724 "PCOS"
"100" "Sample1088" -0.307004040179062 -0.0321750446245255 "HC"
"101" "Sample1089" -0.247042764611626 -0.0989364286855628 "PCOS"
"102" "Sample109" -0.245673520114352 -0.131309436198999 "PCOS"
"103" "Sample1090" -0.279776187783291 -0.101830360833105 "PCOS"
"104" "Sample1091" -0.261194488009512 -0.0961176419723189 "PCOS"
"105" "Sample1092" -0.184800009816125 0.115910625941477 "HC"
"106" "Sample1093" -0.291985027014514 -0.077075082300332 "PCOS"
"107" "Sample1094" -0.265393971512668 -0.100336578727204 "HC"
"108" "Sample1095" -0.276109610574213 -0.0908863994469441 "HC"
