samples	group
Sample768	PCOS-A
Sample769	PCOS-A
Sample770	PCOS-A
Sample771	PCOS-A
Sample772	PCOS-A
Sample774	PCOS-A
Sample775	PCOS-A
Sample776	PCOS-A
Sample777	PCOS-A
Sample778	PCOS-A
Sample779	PCOS-A
Sample780	PCOS-A
Sample781	PCOS-A
Sample782	PCOS-A
Sample783	PCOS-A
Sample785	PCOS-A
Sample786	PCOS-A
Sample787	PCOS-A
Sample788	PCOS-A
Sample789	PCOS-A
Sample790	PCOS-A
Sample791	PCOS-A
Sample792	PCOS-A
Sample793	PCOS-A
Sample794	PCOS-A
Sample796	PCOS-A
Sample797	PCOS-A
Sample798	PCOS-A
Sample799	PCOS-A
Sample800	PCOS-A
Sample801	PCOS-A
Sample802	PCOS-A
Sample803	PCOS-A
Sample804	PCOS-A
Sample841	PCOS-A
Sample842	PCOS-A
Sample843	PCOS-A
Sample844	PCOS-A
Sample845	PCOS-A
Sample854	PCOS-A
Sample865	PCOS-A
Sample872	PCOS-A
Sample873	PCOS-A
Sample874	PCOS-A
Sample875	PCOS-A
Sample876	PCOS-A
Sample877	PCOS-A
Sample878	PCOS-A
Sample879	PCOS-A
Sample880	PCOS-A
Sample881	PCOS-A
Sample882	PCOS-A
Sample883	PCOS-A
Sample884	PCOS-A
Sample885	PCOS-A
Sample886	PCOS-A
Sample887	PCOS-A
Sample888	PCOS-A
Sample889	PCOS-A
Sample890	PCOS-A
Sample891	PCOS-A
Sample892	PCOS-A
Sample893	PCOS-A
Sample894	PCOS-A
Sample895	PCOS-A
Sample896	PCOS-A
Sample897	PCOS-A
Sample898	PCOS-A
Sample900	PCOS-A
Sample901	PCOS-A
Sample902	PCOS-A
Sample903	PCOS-A
Sample904	PCOS-A
Sample905	PCOS-A
Sample906	PCOS-A
Sample907	PCOS-A
Sample908	PCOS-A
Sample909	PCOS-A
Sample911	PCOS-A
Sample912	PCOS-A
Sample913	PCOS-A
Sample914	PCOS-A
Sample915	PCOS-A
Sample916	PCOS-A
Sample917	PCOS-A
Sample918	PCOS-A
Sample919	PCOS-A
Sample920	PCOS-A
Sample922	PCOS-A
Sample923	PCOS-A
Sample924	PCOS-A
Sample925	PCOS-A
Sample926	PCOS-A
Sample927	PCOS-A
Sample928	PCOS-A
Sample929	PCOS-A
Sample930	PCOS-A
Sample931	PCOS-A
Sample933	PCOS-A
Sample934	PCOS-A
Sample935	PCOS-A
Sample936	PCOS-A
Sample937	PCOS-A
Sample938	PCOS-A
Sample939	PCOS-A
Sample940	PCOS-A
Sample941	PCOS-A
Sample942	PCOS-A
Sample944	PCOS-A
Sample945	PCOS-A
Sample946	PCOS-A
Sample947	PCOS-A
Sample948	PCOS-A
Sample949	PCOS-A
Sample950	PCOS-A
Sample951	PCOS-A
Sample952	PCOS-A
Sample953	PCOS-A
Sample955	PCOS-A
Sample956	PCOS-A
Sample981	PCOS-A
Sample982	PCOS-A
Sample983	PCOS-A
Sample984	PCOS-A
Sample985	PCOS-A
Sample986	PCOS-A
Sample988	PCOS-A
Sample989	PCOS-A
Sample990	PCOS-A
Sample991	PCOS-A
Sample992	PCOS-A
Sample993	PCOS-A
Sample994	PCOS-A
Sample995	PCOS-A
Sample996	PCOS-A
Sample997	PCOS-A
Sample999	PCOS-A
Sample1000	PCOS-A
Sample1001	PCOS-A
Sample1002	PCOS-A
Sample1003	PCOS-A
Sample1004	PCOS-A
Sample1005	PCOS-A
Sample1006	PCOS-A
Sample1007	PCOS-A
Sample1008	PCOS-A
Sample1010	PCOS-A
Sample1011	PCOS-A
Sample1012	PCOS-A
Sample1013	PCOS-A
Sample1014	PCOS-A
Sample1015	PCOS-A
Sample1016	PCOS-A
Sample1017	PCOS-A
Sample1018	PCOS-A
Sample1019	PCOS-A
Sample1029	PCOS-A
Sample1030	PCOS-A
Sample1031	PCOS-A
Sample1032	PCOS-A
Sample1033	PCOS-A
Sample1034	PCOS-A
Sample1035	PCOS-A
Sample1036	PCOS-A
Sample1037	PCOS-A
Sample1038	PCOS-A
Sample1040	PCOS-A
Sample1041	PCOS-A
Sample1042	PCOS-A
Sample1043	PCOS-A
Sample1044	PCOS-A
Sample1045	PCOS-A
Sample1046	PCOS-A
Sample1047	PCOS-A
Sample1048	PCOS-A
Sample1049	PCOS-A
Sample1366	PCOS-A
Sample1369	PCOS-A
Sample1370	PCOS-A
Sample1371	PCOS-A
Sample1372	PCOS-A
Sample1373	PCOS-A
Sample1377	PCOS-A
Sample1378	PCOS-A
Sample1379	PCOS-A
Sample1381	PCOS-A
Sample1383	PCOS-A
Sample1384	PCOS-A
Sample1386	PCOS-A
Sample1387	PCOS-A
Sample1389	PCOS-A
Sample1392	PCOS-A
Sample1393	PCOS-A
Sample1394	PCOS-A
Sample1398	PCOS-A
Sample1399	PCOS-A
Sample1401	PCOS-A
Sample1403	PCOS-A
Sample1405	PCOS-A
Sample1406	PCOS-A
Sample1408	PCOS-A
Sample1409	PCOS-A
Sample1411	PCOS-A
Sample1412	PCOS-A
Sample1413	PCOS-A
Sample1414	PCOS-A
Sample1416	PCOS-A
Sample1418	PCOS-A
Sample1419	PCOS-A
Sample1421	PCOS-A
Sample1422	PCOS-A
Sample1423	PCOS-A
Sample1425	PCOS-A
Sample1426	PCOS-A
Sample1427	PCOS-A
Sample1433	PCOS-A
Sample1434	PCOS-A
Sample1436	PCOS-A
Sample1437	PCOS-A
Sample1445	PCOS-A
Sample1447	PCOS-A
Sample1519	PCOS-A
Sample1520	PCOS-A
Sample1521	PCOS-A
Sample1523	PCOS-A
Sample1524	PCOS-A
Sample1525	PCOS-A
Sample1526	PCOS-A
Sample1527	PCOS-A
Sample1528	PCOS-A
Sample1529	PCOS-A
Sample1530	PCOS-A
Sample1531	PCOS-A
Sample1532	PCOS-A
Sample1534	PCOS-A
Sample1535	PCOS-A
Sample1536	PCOS-A
Sample1537	PCOS-A
Sample1538	PCOS-A
Sample1542	PCOS-A
Sample1543	PCOS-A
Sample1544	PCOS-A
Sample1545	PCOS-A
Sample1546	PCOS-A
Sample1547	PCOS-A
Sample1548	PCOS-A
Sample1549	PCOS-A
Sample1550	PCOS-A
Sample1551	PCOS-A
Sample1552	PCOS-A
Sample1553	PCOS-A
Sample1554	PCOS-A
Sample1555	PCOS-A
Sample1556	PCOS-A
Sample1557	PCOS-A
Sample1558	PCOS-A
Sample1559	PCOS-A
Sample1560	PCOS-A
Sample1561	PCOS-A
Sample1562	PCOS-A
Sample1563	PCOS-A
Sample1564	PCOS-A
Sample1565	PCOS-A
Sample1566	PCOS-A
Sample1567	PCOS-A
Sample1568	PCOS-A
Sample1576	PCOS-A
Sample1585	PCOS-A
Sample1586	PCOS-A
Sample1587	PCOS-A
Sample1588	PCOS-A
Sample1589	PCOS-A
Sample1596	PCOS-A
Sample1597	PCOS-A
Sample1598	PCOS-A
Sample1599	PCOS-A
Sample1601	PCOS-A
Sample1602	PCOS-A
Sample1603	PCOS-A
Sample1604	PCOS-A
Sample1605	PCOS-A
Sample1606	PCOS-A
Sample1607	PCOS-A
Sample1608	PCOS-A
Sample1609	PCOS-A
Sample1610	PCOS-A
Sample1612	PCOS-A
Sample1613	PCOS-A
Sample1614	PCOS-A
Sample3	HC-E
Sample4	HC-E
Sample7	HC-E
Sample8	HC-E
Sample9	HC-E
Sample11	HC-E
Sample12	HC-E
Sample13	HC-E
Sample14	HC-E
Sample15	HC-E
Sample17	HC-E
Sample19	HC-E
Sample20	HC-E
Sample21	HC-E
Sample22	HC-E
Sample24	HC-E
Sample26	HC-E
Sample30	HC-E
Sample32	HC-E
Sample33	HC-E
Sample34	HC-E
Sample35	HC-E
Sample37	HC-E
Sample38	HC-E
Sample39	HC-E
Sample44	HC-E
Sample46	HC-E
Sample48	HC-E
Sample49	HC-E
Sample50	HC-E
Sample52	HC-E
Sample53	HC-E
Sample54	HC-E
Sample56	HC-E
Sample57	HC-E
Sample58	HC-E
Sample59	HC-E
Sample61	HC-E
Sample62	HC-E
Sample63	HC-E
Sample65	HC-E
Sample67	HC-E
Sample68	HC-E
Sample69	HC-E
Sample70	HC-E
Sample71	HC-E
Sample72	HC-E
Sample74	HC-E
Sample75	HC-E
Sample77	HC-E
Sample78	HC-E
Sample80	HC-E
Sample81	HC-E
Sample82	HC-E
Sample85	HC-E
Sample87	HC-E
Sample89	HC-E
Sample90	HC-E
Sample91	HC-E
Sample92	HC-E
Sample96	HC-E
Sample97	HC-E
Sample99	HC-E
Sample100	HC-E
Sample101	HC-E
Sample102	HC-E
Sample103	HC-E
Sample104	HC-E
Sample105	HC-E
Sample106	HC-E
Sample110	HC-E
Sample111	HC-E
Sample113	HC-E
Sample114	HC-E
Sample115	HC-E
Sample117	HC-E
Sample118	HC-E
Sample119	HC-E
Sample120	HC-E
Sample121	HC-E
Sample122	HC-E
Sample123	HC-E
Sample125	HC-E
Sample127	HC-E
Sample128	HC-E
Sample129	HC-E
Sample130	HC-E
Sample132	HC-E
Sample133	HC-E
Sample136	HC-E
Sample138	HC-E
Sample142	HC-E
Sample143	HC-E
Sample144	HC-E
Sample145	HC-E
Sample146	HC-E
Sample149	HC-E
Sample151	HC-E
Sample153	HC-E
Sample154	HC-E
Sample157	HC-E
Sample158	HC-E
Sample159	HC-E
Sample161	HC-E
Sample162	HC-E
Sample164	HC-E
Sample165	HC-E
Sample166	HC-E
Sample168	HC-E
Sample169	HC-E
Sample170	HC-E
Sample173	HC-E
Sample174	HC-E
Sample175	HC-E
Sample176	HC-E
Sample177	HC-E
Sample179	HC-E
Sample180	HC-E
Sample182	HC-E
Sample184	HC-E
Sample187	HC-E
Sample188	HC-E
Sample191	HC-E
Sample192	HC-E
Sample193	HC-E
Sample194	HC-E
Sample195	HC-E
Sample196	HC-E
Sample198	HC-E
Sample199	HC-E
Sample200	HC-E
Sample202	HC-E
Sample203	HC-E
Sample204	HC-E
Sample205	HC-E
Sample206	HC-E
Sample208	HC-E
Sample209	HC-E
Sample210	HC-E
Sample211	HC-E
Sample212	HC-E
Sample213	HC-E
Sample214	HC-E
Sample215	HC-E
Sample216	HC-E
Sample217	HC-E
Sample218	HC-E
Sample219	HC-E
Sample221	HC-E
Sample222	HC-E
Sample226	HC-E
Sample228	HC-E
Sample230	HC-E
Sample232	HC-E
Sample234	HC-E
Sample235	HC-E
Sample236	HC-E
Sample239	HC-E
Sample240	HC-E
Sample241	HC-E
Sample242	HC-E
Sample243	HC-E
Sample244	HC-E
Sample246	HC-E
Sample247	HC-E
Sample248	HC-E
Sample250	HC-E
Sample252	HC-E
Sample253	HC-E
Sample254	HC-E
Sample255	HC-E
Sample257	HC-E
Sample258	HC-E
Sample261	HC-E
Sample263	HC-E
Sample265	HC-E
Sample266	HC-E
Sample269	HC-E
Sample270	HC-E
Sample272	HC-E
Sample273	HC-E
Sample274	HC-E
Sample275	HC-E
Sample277	HC-E
Sample278	HC-E
Sample279	HC-E
Sample282	HC-E
Sample283	HC-E
Sample284	HC-E
Sample286	HC-E
Sample287	HC-E
Sample288	HC-E
Sample289	HC-E
Sample290	HC-E
Sample293	HC-E
Sample295	HC-E
Sample296	HC-E
Sample298	HC-E
Sample301	HC-E
Sample302	HC-E
Sample303	HC-E
Sample304	HC-E
Sample305	HC-E
Sample306	HC-E
Sample307	HC-E
Sample309	HC-E
Sample310	HC-E
Sample311	HC-E
Sample312	HC-E
Sample321	HC-E
Sample324	HC-E
Sample325	HC-E
Sample326	HC-E
Sample327	HC-E
Sample328	HC-E
Sample329	HC-E
Sample330	HC-E
Sample331	HC-E
Sample332	HC-E
Sample333	HC-E
Sample334	HC-E
Sample335	HC-E
Sample336	HC-E
Sample337	HC-E
Sample338	HC-E
Sample342	HC-E
Sample354	HC-E
Sample419	HC-E
Sample420	HC-E
Sample421	HC-E
Sample422	HC-E
Sample423	HC-E
Sample424	HC-E
Sample425	HC-E
Sample426	HC-E
Sample427	HC-E
Sample428	HC-E
Sample429	HC-E
Sample430	HC-E
Sample431	HC-E
Sample432	HC-E
Sample433	HC-E
Sample434	HC-E
Sample435	HC-E
Sample436	HC-E
Sample437	HC-E
Sample438	HC-E
Sample439	HC-E
Sample440	HC-E
Sample441	HC-E
Sample442	HC-E
Sample443	HC-E
Sample444	HC-E
Sample445	HC-E
Sample447	HC-E
Sample448	HC-E
Sample449	HC-E
Sample450	HC-E
Sample451	HC-E
Sample452	HC-E
Sample453	HC-E
Sample454	HC-E
Sample455	HC-E
Sample456	HC-E
Sample457	HC-E
Sample459	HC-E
Sample461	HC-E
Sample465	HC-E
Sample466	HC-E
Sample467	HC-E
Sample468	HC-E
Sample471	HC-E
Sample472	HC-E
Sample473	HC-E
Sample474	HC-E
Sample562	HC-E
Sample568	HC-E
Sample570	HC-E
Sample573	HC-E
Sample575	HC-E
Sample577	HC-E
Sample583	HC-E
Sample585	HC-E
Sample588	HC-E
Sample589	HC-E
Sample594	HC-E
Sample596	HC-E
Sample605	HC-E
Sample607	HC-E
Sample608	HC-E
Sample610	HC-E
Sample612	HC-E
Sample615	HC-E
Sample616	HC-E
Sample617	HC-E
Sample618	HC-E
Sample619	HC-E
Sample620	HC-E
Sample621	HC-E
Sample622	HC-E
Sample623	HC-E
Sample624	HC-E
Sample625	HC-E
Sample626	HC-E
Sample627	HC-E
Sample628	HC-E
Sample629	HC-E
Sample630	HC-E
Sample631	HC-E
Sample632	HC-E
Sample634	HC-E
Sample635	HC-E
Sample636	HC-E
Sample637	HC-E
Sample638	HC-E
Sample639	HC-E
Sample642	HC-E
Sample643	HC-E
Sample644	HC-E
Sample645	HC-E
Sample647	HC-E
Sample649	HC-E
Sample650	HC-E
Sample651	HC-E
Sample653	HC-E
Sample654	HC-E
Sample655	HC-E
Sample656	HC-E
Sample657	HC-E
Sample658	HC-E
Sample660	HC-E
Sample661	HC-E
Sample662	HC-E
Sample663	HC-E
Sample664	HC-E
Sample665	HC-E
Sample666	HC-E
Sample667	HC-E
Sample668	HC-E
Sample669	HC-E
Sample670	HC-E
Sample671	HC-E
Sample672	HC-E
Sample673	HC-E
Sample674	HC-E
Sample675	HC-E
Sample676	HC-E
Sample677	HC-E
Sample678	HC-E
Sample679	HC-E
Sample680	HC-E
Sample682	HC-E
Sample683	HC-E
Sample684	HC-E
Sample685	HC-E
Sample686	HC-E
Sample687	HC-E
Sample688	HC-E
Sample689	HC-E
Sample690	HC-E
Sample692	HC-E
Sample693	HC-E
Sample694	HC-E
Sample695	HC-E
Sample696	HC-E
Sample697	HC-E
Sample698	HC-E
Sample699	HC-E
Sample701	HC-E
Sample703	HC-E
Sample704	HC-E
Sample705	HC-E
Sample708	HC-E
Sample709	HC-E
Sample710	HC-E
Sample712	HC-E
Sample713	HC-E
Sample714	HC-E
Sample715	HC-E
Sample716	HC-E
Sample717	HC-E
Sample718	HC-E
Sample719	HC-E
Sample720	HC-E
Sample721	HC-E
Sample722	HC-E
Sample723	HC-E
Sample726	HC-E
Sample727	HC-E
Sample728	HC-E
Sample729	HC-E
Sample731	HC-E
Sample732	HC-E
Sample733	HC-E
Sample734	HC-E
Sample735	HC-E
Sample736	HC-E
Sample737	HC-E
Sample738	HC-E
Sample739	HC-E
Sample741	HC-E
Sample745	HC-E
Sample746	HC-E
Sample749	HC-E
Sample750	HC-E
Sample752	HC-E
Sample1065	HC-E
Sample1066	HC-E
Sample1069	HC-E
Sample1070	HC-E
Sample1071	HC-E
Sample1073	HC-E
Sample1074	HC-E
Sample1075	HC-E
Sample1076	HC-E
Sample1077	HC-E
Sample1079	HC-E
Sample1081	HC-E
Sample1082	HC-E
Sample1083	HC-E
Sample1084	HC-E
Sample1086	HC-E
Sample1088	HC-E
Sample1092	HC-E
Sample1094	HC-E
Sample1095	HC-E
Sample1096	HC-E
Sample1097	HC-E
Sample1099	HC-E
Sample1100	HC-E
Sample1101	HC-E
Sample1106	HC-E
Sample1108	HC-E
Sample1110	HC-E
Sample1111	HC-E
Sample1112	HC-E
Sample1114	HC-E
Sample1115	HC-E
Sample1116	HC-E
Sample1118	HC-E
Sample1119	HC-E
Sample1120	HC-E
Sample1121	HC-E
Sample1123	HC-E
Sample1124	HC-E
Sample1125	HC-E
Sample1127	HC-E
Sample1129	HC-E
Sample1130	HC-E
Sample1131	HC-E
Sample1132	HC-E
Sample1133	HC-E
Sample1134	HC-E
Sample1136	HC-E
Sample1137	HC-E
Sample1139	HC-E
Sample1140	HC-E
Sample1142	HC-E
Sample1143	HC-E
Sample1144	HC-E
Sample1147	HC-E
Sample1149	HC-E
Sample1151	HC-E
Sample1152	HC-E
Sample1153	HC-E
Sample1154	HC-E
Sample1158	HC-E
Sample1159	HC-E
Sample1161	HC-E
Sample1162	HC-E
Sample1163	HC-E
Sample1164	HC-E
Sample1165	HC-E
Sample1166	HC-E
Sample1167	HC-E
Sample1168	HC-E
Sample1172	HC-E
Sample1173	HC-E
Sample1175	HC-E
Sample1176	HC-E
Sample1177	HC-E
Sample1179	HC-E
Sample1180	HC-E
Sample1181	HC-E
Sample1182	HC-E
Sample1183	HC-E
Sample1184	HC-E
Sample1185	HC-E
Sample1187	HC-E
Sample1189	HC-E
Sample1190	HC-E
Sample1191	HC-E
Sample1192	HC-E
Sample1194	HC-E
Sample1195	HC-E
Sample1198	HC-E
Sample1200	HC-E
Sample1204	HC-E
Sample1205	HC-E
Sample1206	HC-E
Sample1207	HC-E
Sample1208	HC-E
Sample1211	HC-E
Sample1213	HC-E
Sample1215	HC-E
Sample1216	HC-E
Sample1219	HC-E
Sample1220	HC-E
Sample1221	HC-E
Sample1223	HC-E
Sample1224	HC-E
Sample1226	HC-E
Sample1227	HC-E
Sample1228	HC-E
Sample1230	HC-E
Sample1231	HC-E
Sample1232	HC-E
Sample1235	HC-E
Sample1236	HC-E
Sample1237	HC-E
Sample1238	HC-E
Sample1239	HC-E
Sample1241	HC-E
Sample1242	HC-E
Sample1244	HC-E
Sample1246	HC-E
Sample1249	HC-E
Sample1250	HC-E
Sample1253	HC-E
Sample1254	HC-E
Sample1255	HC-E
Sample1256	HC-E
Sample1257	HC-E
Sample1258	HC-E
Sample1260	HC-E
Sample1261	HC-E
Sample1262	HC-E
Sample1264	HC-E
Sample1265	HC-E
Sample1266	HC-E
Sample1267	HC-E
Sample1268	HC-E
Sample1270	HC-E
Sample1271	HC-E
Sample1272	HC-E
Sample1273	HC-E
Sample1274	HC-E
Sample1275	HC-E
Sample1276	HC-E
Sample1277	HC-E
Sample1278	HC-E
Sample1279	HC-E
Sample1280	HC-E
Sample1281	HC-E
Sample1283	HC-E
Sample1284	HC-E
Sample1288	HC-E
Sample1290	HC-E
Sample1292	HC-E
Sample1294	HC-E
Sample1296	HC-E
Sample1297	HC-E
Sample1298	HC-E
Sample1301	HC-E
Sample1302	HC-E
Sample1303	HC-E
Sample1304	HC-E
Sample1305	HC-E
Sample1306	HC-E
Sample1308	HC-E
Sample1309	HC-E
Sample1310	HC-E
Sample1312	HC-E
Sample1314	HC-E
Sample1315	HC-E
Sample1316	HC-E
Sample1317	HC-E
Sample1319	HC-E
Sample1320	HC-E
Sample1323	HC-E
Sample1325	HC-E
Sample1327	HC-E
Sample1328	HC-E
Sample1331	HC-E
Sample1332	HC-E
Sample1334	HC-E
Sample1335	HC-E
Sample1336	HC-E
Sample1337	HC-E
Sample1339	HC-E
Sample1340	HC-E
Sample1341	HC-E
Sample1344	HC-E
Sample1345	HC-E
Sample1346	HC-E
Sample1348	HC-E
Sample1349	HC-E
Sample1350	HC-E
Sample1351	HC-E
Sample1352	HC-E
Sample1355	HC-E
Sample1357	HC-E
Sample1358	HC-E
Sample1360	HC-E
Sample1363	HC-E
Sample1364	HC-E
Sample1365	HC-E
Sample1448	HC-E
Sample1449	HC-E
Sample1450	HC-E
Sample1453	HC-E
Sample1464	HC-E
Sample1473	HC-E
Sample1474	HC-E
Sample1475	HC-E
Sample1476	HC-E
Sample1477	HC-E
Sample1478	HC-E
Sample1479	HC-E
Sample1480	HC-E
Sample1481	HC-E
Sample1482	HC-E
Sample1483	HC-E
Sample1484	HC-E
Sample1485	HC-E
Sample1486	HC-E
Sample1487	HC-E
Sample1488	HC-E
Sample1492	HC-E
Sample1496	HC-E
Sample1501	HC-E
Sample1502	HC-E
Sample1503	HC-E
Sample1504	HC-E
Sample1505	HC-E
Sample1506	HC-E
Sample1507	HC-E
Sample1508	HC-E
Sample1	PCOS-E
Sample2	PCOS-E
Sample5	PCOS-E
Sample6	PCOS-E
Sample10	PCOS-E
Sample16	PCOS-E
Sample18	PCOS-E
Sample23	PCOS-E
Sample25	PCOS-E
Sample27	PCOS-E
Sample28	PCOS-E
Sample29	PCOS-E
Sample31	PCOS-E
Sample36	PCOS-E
Sample40	PCOS-E
Sample41	PCOS-E
Sample42	PCOS-E
Sample43	PCOS-E
Sample45	PCOS-E
Sample47	PCOS-E
Sample51	PCOS-E
Sample55	PCOS-E
Sample60	PCOS-E
Sample64	PCOS-E
Sample66	PCOS-E
Sample73	PCOS-E
Sample76	PCOS-E
Sample79	PCOS-E
Sample83	PCOS-E
Sample84	PCOS-E
Sample86	PCOS-E
Sample88	PCOS-E
Sample93	PCOS-E
Sample94	PCOS-E
Sample95	PCOS-E
Sample98	PCOS-E
Sample107	PCOS-E
Sample108	PCOS-E
Sample109	PCOS-E
Sample112	PCOS-E
Sample116	PCOS-E
Sample124	PCOS-E
Sample126	PCOS-E
Sample131	PCOS-E
Sample134	PCOS-E
Sample135	PCOS-E
Sample137	PCOS-E
