samples	group
Sample139	PCOS-E
Sample140	PCOS-E
Sample141	PCOS-E
Sample147	PCOS-E
Sample148	PCOS-E
Sample150	PCOS-E
Sample152	PCOS-E
Sample155	PCOS-E
Sample156	PCOS-E
Sample160	PCOS-E
Sample163	PCOS-E
Sample167	PCOS-E
Sample171	PCOS-E
Sample172	PCOS-E
Sample178	PCOS-E
Sample181	PCOS-E
Sample183	PCOS-E
Sample185	PCOS-E
Sample186	PCOS-E
Sample189	PCOS-E
Sample190	PCOS-E
Sample197	PCOS-E
Sample201	PCOS-E
Sample207	PCOS-E
Sample220	PCOS-E
Sample223	PCOS-E
Sample224	PCOS-E
Sample225	PCOS-E
Sample227	PCOS-E
Sample229	PCOS-E
Sample231	PCOS-E
Sample233	PCOS-E
Sample237	PCOS-E
Sample238	PCOS-E
Sample245	PCOS-E
Sample249	PCOS-E
Sample251	PCOS-E
Sample256	PCOS-E
Sample259	PCOS-E
Sample260	PCOS-E
Sample262	PCOS-E
Sample264	PCOS-E
Sample267	PCOS-E
Sample268	PCOS-E
Sample271	PCOS-E
Sample276	PCOS-E
Sample280	PCOS-E
Sample281	PCOS-E
Sample285	PCOS-E
Sample291	PCOS-E
Sample292	PCOS-E
Sample294	PCOS-E
Sample297	PCOS-E
Sample299	PCOS-E
Sample300	PCOS-E
Sample308	PCOS-E
Sample313	PCOS-E
Sample314	PCOS-E
Sample315	PCOS-E
Sample316	PCOS-E
Sample317	PCOS-E
Sample318	PCOS-E
Sample319	PCOS-E
Sample320	PCOS-E
Sample322	PCOS-E
Sample323	PCOS-E
Sample339	PCOS-E
Sample340	PCOS-E
Sample341	PCOS-E
Sample343	PCOS-E
Sample344	PCOS-E
Sample345	PCOS-E
Sample346	PCOS-E
Sample347	PCOS-E
Sample348	PCOS-E
Sample349	PCOS-E
Sample350	PCOS-E
Sample351	PCOS-E
Sample352	PCOS-E
Sample353	PCOS-E
Sample355	PCOS-E
Sample356	PCOS-E
Sample357	PCOS-E
Sample358	PCOS-E
Sample359	PCOS-E
Sample360	PCOS-E
Sample361	PCOS-E
Sample362	PCOS-E
Sample363	PCOS-E
Sample364	PCOS-E
Sample365	PCOS-E
Sample366	PCOS-E
Sample367	PCOS-E
Sample368	PCOS-E
Sample369	PCOS-E
Sample370	PCOS-E
Sample371	PCOS-E
Sample372	PCOS-E
Sample373	PCOS-E
Sample374	PCOS-E
Sample375	PCOS-E
Sample376	PCOS-E
Sample377	PCOS-E
Sample378	PCOS-E
Sample379	PCOS-E
Sample380	PCOS-E
Sample381	PCOS-E
Sample382	PCOS-E
Sample383	PCOS-E
Sample384	PCOS-E
Sample385	PCOS-E
Sample386	PCOS-E
Sample387	PCOS-E
Sample388	PCOS-E
Sample389	PCOS-E
Sample390	PCOS-E
Sample391	PCOS-E
Sample392	PCOS-E
Sample393	PCOS-E
Sample394	PCOS-E
Sample395	PCOS-E
Sample396	PCOS-E
Sample397	PCOS-E
Sample398	PCOS-E
Sample399	PCOS-E
Sample400	PCOS-E
Sample401	PCOS-E
Sample402	PCOS-E
Sample403	PCOS-E
Sample404	PCOS-E
Sample405	PCOS-E
Sample406	PCOS-E
Sample407	PCOS-E
Sample408	PCOS-E
Sample409	PCOS-E
Sample410	PCOS-E
Sample411	PCOS-E
Sample412	PCOS-E
Sample413	PCOS-E
Sample414	PCOS-E
Sample415	PCOS-E
Sample416	PCOS-E
Sample417	PCOS-E
Sample418	PCOS-E
Sample446	PCOS-E
Sample458	PCOS-E
Sample460	PCOS-E
Sample462	PCOS-E
Sample463	PCOS-E
Sample464	PCOS-E
Sample469	PCOS-E
Sample470	PCOS-E
Sample475	PCOS-E
Sample554	PCOS-E
Sample555	PCOS-E
Sample556	PCOS-E
Sample557	PCOS-E
Sample558	PCOS-E
Sample559	PCOS-E
Sample560	PCOS-E
Sample561	PCOS-E
Sample563	PCOS-E
Sample564	PCOS-E
Sample565	PCOS-E
Sample566	PCOS-E
Sample567	PCOS-E
Sample569	PCOS-E
Sample571	PCOS-E
Sample572	PCOS-E
Sample574	PCOS-E
Sample576	PCOS-E
Sample578	PCOS-E
Sample579	PCOS-E
Sample580	PCOS-E
Sample581	PCOS-E
Sample582	PCOS-E
Sample584	PCOS-E
Sample586	PCOS-E
Sample587	PCOS-E
Sample590	PCOS-E
Sample591	PCOS-E
Sample592	PCOS-E
Sample593	PCOS-E
Sample595	PCOS-E
Sample597	PCOS-E
Sample598	PCOS-E
Sample599	PCOS-E
Sample600	PCOS-E
Sample601	PCOS-E
Sample602	PCOS-E
Sample603	PCOS-E
Sample604	PCOS-E
Sample606	PCOS-E
Sample609	PCOS-E
Sample611	PCOS-E
Sample613	PCOS-E
Sample614	PCOS-E
Sample633	PCOS-E
Sample640	PCOS-E
Sample641	PCOS-E
Sample646	PCOS-E
Sample648	PCOS-E
Sample652	PCOS-E
Sample659	PCOS-E
Sample681	PCOS-E
Sample691	PCOS-E
Sample700	PCOS-E
Sample702	PCOS-E
Sample706	PCOS-E
Sample707	PCOS-E
Sample711	PCOS-E
Sample724	PCOS-E
Sample725	PCOS-E
Sample730	PCOS-E
Sample740	PCOS-E
Sample742	PCOS-E
Sample743	PCOS-E
Sample744	PCOS-E
Sample747	PCOS-E
Sample748	PCOS-E
Sample751	PCOS-E
Sample1063	PCOS-E
Sample1064	PCOS-E
Sample1067	PCOS-E
Sample1068	PCOS-E
Sample1072	PCOS-E
Sample1078	PCOS-E
Sample1080	PCOS-E
Sample1085	PCOS-E
Sample1087	PCOS-E
Sample1089	PCOS-E
Sample1090	PCOS-E
Sample1091	PCOS-E
Sample1093	PCOS-E
Sample1098	PCOS-E
Sample1102	PCOS-E
Sample1103	PCOS-E
Sample1104	PCOS-E
Sample1105	PCOS-E
Sample1107	PCOS-E
Sample1109	PCOS-E
Sample1113	PCOS-E
Sample1117	PCOS-E
Sample1122	PCOS-E
Sample1126	PCOS-E
Sample1128	PCOS-E
Sample1135	PCOS-E
Sample1138	PCOS-E
Sample1141	PCOS-E
Sample1145	PCOS-E
Sample1146	PCOS-E
Sample1148	PCOS-E
Sample1150	PCOS-E
Sample1155	PCOS-E
Sample1156	PCOS-E
Sample1157	PCOS-E
Sample1160	PCOS-E
Sample1169	PCOS-E
Sample1170	PCOS-E
Sample1171	PCOS-E
Sample1174	PCOS-E
Sample1178	PCOS-E
Sample1186	PCOS-E
Sample1188	PCOS-E
Sample1193	PCOS-E
Sample1196	PCOS-E
Sample1197	PCOS-E
Sample1199	PCOS-E
Sample1201	PCOS-E
Sample1202	PCOS-E
Sample1203	PCOS-E
Sample1209	PCOS-E
Sample1210	PCOS-E
Sample1212	PCOS-E
Sample1214	PCOS-E
Sample1217	PCOS-E
Sample1218	PCOS-E
Sample1222	PCOS-E
Sample1225	PCOS-E
Sample1229	PCOS-E
Sample1233	PCOS-E
Sample1234	PCOS-E
Sample1240	PCOS-E
Sample1243	PCOS-E
Sample1245	PCOS-E
Sample1247	PCOS-E
Sample1248	PCOS-E
Sample1251	PCOS-E
Sample1252	PCOS-E
Sample1259	PCOS-E
Sample1263	PCOS-E
Sample1269	PCOS-E
Sample1282	PCOS-E
Sample1285	PCOS-E
Sample1286	PCOS-E
Sample1287	PCOS-E
Sample1289	PCOS-E
Sample1291	PCOS-E
Sample1293	PCOS-E
Sample1295	PCOS-E
Sample1299	PCOS-E
Sample1300	PCOS-E
Sample1307	PCOS-E
Sample1311	PCOS-E
Sample1313	PCOS-E
Sample1318	PCOS-E
Sample1321	PCOS-E
Sample1322	PCOS-E
Sample1324	PCOS-E
Sample1326	PCOS-E
Sample1329	PCOS-E
Sample1330	PCOS-E
Sample1333	PCOS-E
Sample1338	PCOS-E
Sample1342	PCOS-E
Sample1343	PCOS-E
Sample1347	PCOS-E
Sample1353	PCOS-E
Sample1354	PCOS-E
Sample1356	PCOS-E
Sample1359	PCOS-E
Sample1361	PCOS-E
Sample1362	PCOS-E
Sample1451	PCOS-E
Sample1452	PCOS-E
Sample1454	PCOS-E
Sample1455	PCOS-E
Sample1456	PCOS-E
Sample1457	PCOS-E
Sample1458	PCOS-E
Sample1459	PCOS-E
Sample1460	PCOS-E
Sample1461	PCOS-E
Sample1462	PCOS-E
Sample1463	PCOS-E
Sample1465	PCOS-E
Sample1466	PCOS-E
Sample1467	PCOS-E
Sample1468	PCOS-E
Sample1469	PCOS-E
Sample1470	PCOS-E
Sample1471	PCOS-E
Sample1472	PCOS-E
Sample1489	PCOS-E
Sample1490	PCOS-E
Sample1491	PCOS-E
Sample1493	PCOS-E
Sample1494	PCOS-E
Sample1495	PCOS-E
Sample1497	PCOS-E
Sample1498	PCOS-E
Sample1499	PCOS-E
Sample1500	PCOS-E
