genus,sample,group,value
Bacteroides,HC-A,HC-A,14.55903121
Faecalibacterium,HC-A,HC-A,10.83286982
Prevotella,HC-A,HC-A,8.548708755
Phocaeicola,HC-A,HC-A,2.746849696
Alistipes,HC-A,HC-A,1.007996305
Agathobacter,HC-A,HC-A,2.777500825
Roseburia,HC-A,HC-A,3.176546112
Blautia,HC-A,HC-A,2.489800078
unclassified,HC-A,HC-A,3.51225
Ruminococcus,HC-A,HC-A,1.722249646
Parabacteroides,HC-A,HC-A,0.847977002
Bifidobacterium,HC-A,HC-A,1.940369788
Lachnospira,HC-A,HC-A,1.524259948
Dialister,HC-A,HC-A,0.883567441
Barnesiella,HC-A,HC-A,0.170847968
Subdoligranulum,HC-A,HC-A,1.826868158
Sutterella,HC-A,HC-A,0.547764238
Akkermansia,HC-A,HC-A,0.170298916
UCG-002,HC-A,HC-A,0.987122096
Others,HC-A,HC-A,39.727122
Bacteroides,PCOS-A,PCOS-A,17.69059687
Faecalibacterium,PCOS-A,PCOS-A,10.52997802
Prevotella,PCOS-A,PCOS-A,8.015890789
Phocaeicola,PCOS-A,PCOS-A,2.700046832
Alistipes,PCOS-A,PCOS-A,1.013663342
Agathobacter,PCOS-A,PCOS-A,2.15525553
Roseburia,PCOS-A,PCOS-A,3.348242582
Blautia,PCOS-A,PCOS-A,3.785478271
unclassified,PCOS-A,PCOS-A,3.433823774
Ruminococcus,PCOS-A,PCOS-A,0.681377693
Parabacteroides,PCOS-A,PCOS-A,0.851627611
Bifidobacterium,PCOS-A,PCOS-A,3.101005298
Lachnospira,PCOS-A,PCOS-A,1.534895924
Dialister,PCOS-A,PCOS-A,1.01017324
Barnesiella,PCOS-A,PCOS-A,0.114523501
Subdoligranulum,PCOS-A,PCOS-A,1.451920926
Sutterella,PCOS-A,PCOS-A,0.533124835
Akkermansia,PCOS-A,PCOS-A,0.274015205
UCG-002,PCOS-A,PCOS-A,0.540699821
Others,PCOS-A,PCOS-A,37.23365994
Bacteroides,HC-E,HC-E,13.92625292
Faecalibacterium,HC-E,HC-E,9.238928355
Prevotella,HC-E,HC-E,7.823717927
Phocaeicola,HC-E,HC-E,8.462007541
Alistipes,HC-E,HC-E,5.607905725
Agathobacter,HC-E,HC-E,2.746194521
Roseburia,HC-E,HC-E,1.699053432
Blautia,HC-E,HC-E,1.440132613
unclassified,HC-E,HC-E,1.013743512
Ruminococcus,HC-E,HC-E,2.331783401
Parabacteroides,HC-E,HC-E,2.26819654
Bifidobacterium,HC-E,HC-E,1.191335732
Lachnospira,HC-E,HC-E,1.174019255
Dialister,HC-E,HC-E,1.21394975
Barnesiella,HC-E,HC-E,1.616417615
Subdoligranulum,HC-E,HC-E,0.885312052
Sutterella,HC-E,HC-E,1.347382803
Akkermansia,HC-E,HC-E,1.580886005
UCG-002,HC-E,HC-E,1.102912656
Others,HC-E,HC-E,33.32986765
Bacteroides,PCOS-E,PCOS-E,17.6789661
Faecalibacterium,PCOS-E,PCOS-E,7.859823737
Prevotella,PCOS-E,PCOS-E,7.611234285
Phocaeicola,PCOS-E,PCOS-E,8.157033393
Alistipes,PCOS-E,PCOS-E,5.546562523
Agathobacter,PCOS-E,PCOS-E,2.654168256
Roseburia,PCOS-E,PCOS-E,1.460107354
Blautia,PCOS-E,PCOS-E,1.294158135
unclassified,PCOS-E,PCOS-E,1.217280424
Ruminococcus,PCOS-E,PCOS-E,2.255698876
Parabacteroides,PCOS-E,PCOS-E,2.395185124
Bifidobacterium,PCOS-E,PCOS-E,1.15131653
Lachnospira,PCOS-E,PCOS-E,1.134793203
Dialister,PCOS-E,PCOS-E,1.845044122
Barnesiella,PCOS-E,PCOS-E,1.870477194
Subdoligranulum,PCOS-E,PCOS-E,0.617809521
Sutterella,PCOS-E,PCOS-E,1.161842365
Akkermansia,PCOS-E,PCOS-E,1.082537294
UCG-002,PCOS-E,PCOS-E,1.004528565
Others,PCOS-E,PCOS-E,32.001433
